0x0004acf9 ああ・・・助かったわ。　　　　　
0x00050ef9 いるような気配がする・・・。　　
0x00050f38 旅の人、ピクシー村にようこそ！　
0x00050f59 ゆっくりしていってくれ。　　　　
0x00050f88 ぼくらの家は、あなたがた人間には
0x00050fa9 きゅうくつかもしれないけどね。　
0x00050fd8 ＜ライフが回復した！＞　　　　　
0x00051034 糸吐き虫は、ぼくらの　　　　　　
0x00051055 大事な家畜だよ。　　　　　　　　
0x00051084 彼らは、たくさんの花を食べて、　
0x000510a5 その花の色に応じた色の　　　　　
0x000510c6 糸を吐き出すんだ。　　　　　　　
0x000510f4 その糸は強くてしなやかで、　　　
0x00051115 この地方の衣服や家具に多く　　　
0x00051136 使われているんだよ。　　　　　　
0x0005118c 待ってー！　　　　　　　　　　　
0x000511bc ふう、やっと追いついたわ。　　　
0x000511ec 用事はすんだわ。　　　　　　　　
0x0005120d 改めてお礼に来たの。　　　　　　
0x0005122e さっきは本当にありがとうね。　　
0x0005125c 山を下りるの？　　　　　　　　　
0x0005127d 近道を知ってるわ。　　　　　　　
0x0005129e ついてきて。　　　　　　　　　　
0x00051308 おやあ？　　　　　　　　　　　　
0x00051329 親分、谷を歩いている奴が　　　　
0x0005134a いますぜ。　　　　　　　　　　　
0x00051378 生意気な。　　　　　　　　　　　
0x00051399 ここは通行禁止との我々の通告を　
0x000513ba 無視するとは。　　　　　　　　　
0x000513e8 目にものみせてやれい！　　　　　
0x00051418 合点承知！　　　　　　　　　　　
