
0x0017f05a このままゲームを始める。
0x003f4d64 俺の村まで、
0x003f4d71 一緒に来てくれないか。
0x003f4d94 メイルじゃな$
0x003f4ed0 いか！！
0x003f4ef3 ふいをつかれて、例の強盗団の
0x003f4f10 手下に、閉じ込められて
0x003f4f27 しまったんだ。
0x003f4f36 $+とりあえず、君に助けてもらったお礼がしたい。
0x003f4f65 $,この近くに、俺の仲間がいる
0x003f4f82 村があるから、
0x003f4f91 そこまで一緒に来てくれないか。
0x003f4fce 村への扉が開かないんだよ。
0x003f4fe9 ちょっと、開けてくるから、
0x003f5004 ここで、待ってくれ。
0x003f5031 思いっきり力いれたら、
0x003f5048 コケちゃったよ。
0x003f505b さぁ、開いたぞ。
0x003f506c メイル、俺の村へ行こう！！
0x003f508c 牢屋の奥で男の声が聞こえて来る
0x003f50b2 $%誰か、そこにいるのか！？
0x003f50cd 頼む！
0x003f50d4 助けてくれ！！
0x003f50e3 $&上にいる魔物が、この牢屋の
0x003f5100 カギを持っているんだ。
0x003f511a 魔物から手に入れたカギを使うと牢屋の扉が開いた。
0x003f518f $(君が外にいた魔物を、
0x003f51a6 倒してくれたのかい。
0x003f51bb $)助かったよ。
0x003f51ca ありがとう。
0x003f51db スイッチは、かたくて動かない。
0x003f51ff 扉はかたく閉ざされている。
0x003f5220 牢屋の奥で男の声が聞こえる。
0x003f5259 頼む助けてくれ！！
0x003f526c $&上にいる魔物が、この牢屋の
0x003f5289 カギを持っているんだ。
0x003f52a6 魔物から手に入れたカギを使うと牢屋の扉が開いた。
0x003f52e0 5$7ねぇねぇ、
0x003f52ee あなた、ちょっと聞いてよ。
0x003f5309 $8そこにいるミフィさんの
0x003f5322 だんなさんて、鉱山で金脈掘り
0x003f533f してるらしいんだけどさ、
0x003f5358 $9一度も金なんて、
0x003f536b 持って帰ったことないのよ。
0x003f5386 $:そのくせ、
0x003f5393 ろくに働きもしないから、
0x003f53ac 生活はかなり苦しいみたいよ。
0x003f53c9 $;もう、気の毒でしょうがないわ。
0x003f53ea ねぇねぇ、ちょっとあなた、
0x003f5405 聞いた？
0x003f540e ミフィさんのだんなさん、
0x003f5427 ついに金脈を掘り当てたそうね。
0x003f5446 でも、うわさだと、
0x003f5459 なんかよくわからない３人組が
0x003f5476 だんなさんをあわれに思って、
0x003f5493 恵んだらしいわよ。
0x003f54a6 でも、
0x003f54ad あんなにミフィさん喜んでるし、かわいそうだから、だまってる
0x003f54e8 ことにするわ。
0x003f54f9 ミフィ
0x003f5505 舒私も、マリオネット強盗団に
0x003f5522 大事な指輪を盗まれたの。
0x003f553b あれは、主人との大切な
0x003f5552 婚約指輪なのに…。
0x003f5568 長いこと鉱山で金塊探しを
0x003f5581 していた主人が、ついに金塊を
0x003f559e 見つけて帰ってくるそうなの。
0x003f55bb これでやっと、貧しい生活から
0x003f55d8 さよなら出来るわ。
0x003f55eb あぁ…、
0x003f55f4 はやく帰ってこないかしら。
0x003f5611 ミフィ
0x003f561a ああ、どうしたらいいのかしら。主人に、会わす顔がないわ。
0x003f5673 捕まえにいきたいのだが、
0x003f568c ここを離れると村の方が
0x003f56a3 危ないので…。
0x003f56b2 できれば、君に連中を捕まえて
0x003f5835 いる。
0x003f583c その君の勇気と強さをみこんで、頼みたいのだが、
0x003f586b 我々に協力してはくれまいか？
0x003f5888 マリオネット強盗団を我々の
0x003f58a3 同志が倒しにいったまま
0x003f58ba 戻ってこない…。
0x003f58cb いったいどうしたんだろう。
0x003f58e6 古代の洞窟にいる怪獣が、
0x003f58ff ジャングルに来るなんて
0x003f5916 めずらしいなぁ。
0x003f5947 さすが賞金稼ぎをしているだけのことはあるね。
0x003f5974 $.それにしても、
0x003f5985 マリオネット強盗団め、
0x003f599c やっぱり俺一人の力では、
0x003f59b5 どうすることもできない。
0x003f59ce $/このままがまんしてるしか
0x003f59e9 ないのか…。
0x003f59f6 $0あっ、そうだ。
0x003f5a07 助けてくれたお礼をしないとね。そんな装備じゃ、魔物との戦いがつらいだろう。
0x003f5a52 $1このお金で、防具でも買って
0x003f5a6f くるといい。
0x003f5a81 ５００Ｇｏｌｄ
0x003f5a91 をもらった。
0x003f5ade $3この塔の最上階に、スイッチが
0x003f5afd ある。
0x003f5b04 $4そいつを解除しないと、
0x003f5b1d 他の扉がひらかないように
0x003f5b36 なっているんだ。
0x003f5b47 $5しかし、そのスイッチの所には、２匹の巨大な魔物がいて、
0x003f5b80 通ることができない。
0x003f5b95 $6気をつけていけよ。
0x003f5bc8 くれよ。
0x003f5bd1 俺もがんばるからな。
0x003f5beb 開かれた扉を再び閉じた。
0x003f5c09 閉ざされた扉を開けた。
0x003f5c23 魔物が倒れると同時に
0x003f5c38 隠し扉が開く音が聞こえた。
0x003f5c56 鍵を手にいれた。


0x0041ddce ショートソード　軽量で扱いやすい剣。しかし、殺傷能力は低い。
0x0041de0c ロングソード　　長さ１ｍほどの長剣。化物の多い洞窟内では必需品。
0x0041de4e ファルシオン　　鋼鉄でできた大きめの剣。攻撃力はなかなかのもの。
0x0041de90 フレイムソード　炎でつくられた剣その使いやすさと殺傷能力は保証付
0x0041ded2 ライトセイバー　現存する剣の中で最強を誇る剣。
0x0041df02 ファイアの魔法　進行方向へ連射できる。どんな場所でも有効である。
0x0041df44 ファイア　ＤＸ　ファイアの魔法が３つに分裂する。
0x0041df76 サンダーの魔法　雷の槍が敵を　　貫通
0x0041df9c ホーミング　　　最高６個の弾が敵を追う。ただし効かない敵もいる。
0x0041dfde フォース　　　　自らの魔力を弾にして敵に放つ。
0x0041e00e ファイアボール　体内にためた炎を吹き出す。
0x0041e03a テイルアタック　強力な回転と尻尾で敵に大きなダメージをあたえる。
0x0041e07c アックス　　　　敵を一刀両断に　切り裂く強力な　武器。
0x0041e0b4 アイアンクロー　鋭い爪で敵を切り刻む。
0x0041e0dc ファイアブレス　体内にためた力を一気に放つ。　　威力絶大
0x0041e116 レザーアーマー　馬の革を何枚も重ねてある。　　　防御能力は低い。
0x0041e158 チェーンメイル　鎖で編まれていて丈夫にできている役にたつだろう。
0x0041e19a プレートメイル　鋼鉄でできてるので重いが多少の攻撃なら充分戦える
0x0041e1dc ミスリルアーマー数多くの敵と闘うにはこれくらいの鎧は必要である。
0x0041e21e ゴールドアーマー現代の技術では最高の強度を持つ鎧である。
0x0041e258 レッドローブ　　魔法使いのマント
0x0041e27a ブルーローブ　　魔法使いのマント
0x0041e29c イエローローブ　魔法使いのマント
0x0041e2be シルバーローブ　魔法使いのマント
0x0041e2e0 ゴールドローブ　魔法使いのマント
0x0041e302 ウッドシールド　木製なので軽く
0x0041e450 て動きやすいが防御能力は低い。
0x0041e470 スモールシールドウッドシールドより少し小さいがなかなか丈夫である
0x0041e4b2 ラージシールド　スモールシールドと同じ材質の少し大きめの盾。
0x0041e4f0 ミスリルシールドこの盾は敵の攻撃を防ぐには充分な効力を持っている
0x0041e532 ゴールドシールドこの盾は最強の盾といえるだろう。
0x0041e564 ブロンズミラー　魔法の力で敵の攻撃を跳ね返す。
0x0041e594 メタルミラー　　魔法の力で敵の攻撃を跳ね返す。
0x0041e5c4 プラチナミラー　魔法の力で敵の攻撃を跳ね返す。
0x0041e5f4 ミスリルミラー　魔法の力で敵の攻撃を跳ね返す。
0x0041e624 ゴールドミラー　魔法の力で敵の攻撃を跳ね返す。
0x0041e654 無敵　　　　　　一定時間無敵！！
0x0041e676 ヘルメット　　　一定時間上空からの攻撃を防ぐことができる。
0x0041e6b2 スパイクブーツ　氷の上でも滑らない。
0x0041e6d8 石靴　　　　　　トゲの上でも平気で歩ける。ただしジャンプ力下がる
0x0041e71a ツルハシ
0x0041e72c ダガー　　　　　投げナイフ。
0x0041e74a ブーメラン　　　回転しながら手元にもどってくる、武器。
0x0041e782 オレンジ　　　　体力が２０回復する。
0x0041e7a8 チェリー　　　　体力が５０回復する。
0x0041e7ce リンゴ　　　　　体力が完全回復する。
0x0041e7f4 金塊
0x0041e806 エリクサー　　　復活剤。
0x0041e820 ブーメランＤＸ　ブーメランのパワーアップ型。

0x0041fbf9 アイアンソード
0x0041fc0a プラズマブレードPウォータービームPロッククラッシュ@アイアンアーマー
0x0041fc4e プラズマアーマーPアクアローブ　　Pバトルアーマー　@アイアンシールド

0x00439439 いらっしゃいませご用件は？
0x0043945a 　買う
0x00439461 　　売る
0x0043946c 　治療
0x00439473 　　説明
0x0043947d 他にも何かご用がございますか？
0x0043949e 　買う
0x004394a5 　　売る
0x004394b0 　治療
0x004394b7 　　説明
0x004394c3 どれをお求めに　なりますか？
0x004394e1 　でよろしい　　　　　　ですか？
0x00439502 　ＹＥＳ
0x00439514 あなたはそのアイテムをこれ以上持てません。
0x00439540 お金が足りません
0x00439554 ありがとうございました。
0x0043956e 何を売っていただけますか？
0x0043958a になります。
0x0043959b 　ＹＥＳ
0x004395ad これ以上　売れるものがありません
0x004395cf 治療に　　　　　ゴールド必要です治療しますか？
0x00439600 　ＹＥＳ
0x00439612 どこにも異常は　ないようです。
0x00439632 お大事に‥‥。

0x0045067f マテリアル
0x00450693 　バカな！！
0x004506a0 　わしのウッド・ゴーレムが
0x004506bb 　負けるとは！！
0x004506ce  ・・・・・？
0x004506dd この辺から声が…。
0x004506f5 仕方ない。
0x00450703 この場は一端
0x0045071d あ！！
0x00450727 ん？　もしかして
0x00450746 おまえが賞金首の魔導師だな！！
0x00450767 魔導師
0x00450770 $>いかにも。わしこそこの国を恐怖で満たし、暗黒の世界をも支配できる魔導師の中の魔導師。
0x004507c7 $?マテリアル様じゃ！！
0x004507df $@なるほど、
0x004507ec お前がタットの師匠ね。
0x00450825 やつめ、弟子のくせにわしに
0x00450840 説教などしおって！！
0x00450855 $B今頃、牢屋で頭を冷やして
0x00450870 おるはずじゃ。
0x0045087f ワハハ
0x00450887 $Cそんな事、あたしの知った
0x004508a2 こっちゃないわよ。
0x004508b5 $Dあたしに関係あるのは、
0x004508ce おまえにかかっている
0x004508e3 賞金だけよ！
0x004508f0 $E捕まえてやる！！
0x0045091e  バカめ！！そんなにわしを捕まえたくば、追ってくるがいい！！
0x0045095a $Gさらばだ！！
0x0045096c $H君は確か
0x00450984 メイル！！
0x0045098f $Iメイル、頼むよ。
0x004509a2 僕の言うとおりに、
0x004509b5 左のスイッチを動かしてくれ！！
0x004509d5 $Jこうやって
0x004509ef こうかな？
0x004509fb $Kタット、実は…
0x00450a0d $Lそうか…。
0x00450a1a 多分、お師匠様は古代の洞窟に
0x00450a37 いるはずだ。
0x00450a44 $M何度か僕も行った事がある。
0x00450a61 よし、一緒に行こう！！2

0x0045067f マテリアル
0x00450693 　バカな！！
0x004506a0 　わしのウッド・ゴーレムが
0x004506bb 　負けるとは！！
0x004506ce  ・・・・・？
0x004506dd この辺から声が…。
0x004506f5 仕方ない。
0x00450703 この場は一端
0x0045071d あ！！
0x00450727 ん？　もしかして
0x00450746 おまえが賞金首の魔導師だな！！
0x00450767 魔導師
0x00450770 $>いかにも。わしこそこの国を恐怖で満たし、暗黒の世界をも支配できる魔導師の中の魔導師。
0x004507c7 $?マテリアル様じゃ！！
0x004507df $@なるほど、
0x004507ec お前がタットの師匠ね。
0x00450825 やつめ、弟子のくせにわしに
0x00450840 説教などしおって！！
0x00450855 $B今頃、牢屋で頭を冷やして
0x00450870 おるはずじゃ。
0x0045087f ワハハ
0x00450887 $Cそんな事、あたしの知った
0x004508a2 こっちゃないわよ。
0x004508b5 $Dあたしに関係あるのは、
0x004508ce おまえにかかっている
0x004508e3 賞金だけよ！
0x004508f0 $E捕まえてやる！！
0x0045091e  バカめ！！そんなにわしを捕まえたくば、追ってくるがいい！！
0x0045095a $Gさらばだ！！
0x0045096c $H君は確か
0x00450984 メイル！！
0x0045098f $Iメイル、頼むよ。
0x004509a2 僕の言うとおりに、
0x004509b5 左のスイッチを動かしてくれ！！
0x004509d5 $Jこうやって
0x004509ef こうかな？
0x004509fb $Kタット、実は…
0x00450a0d $Lそうか…。
0x00450a1a 多分、お師匠様は古代の洞窟に
0x00450a37 いるはずだ。
0x00450a44 $M何度か僕も行った事がある。
0x00450a61 よし、一緒に行こう！！2

0x004e7fce ショートソード　軽量で扱いやすい剣。しかし、殺傷能力は低い。
0x004e800c ロングソード　　長さ１ｍほどの長剣。化物の多い洞窟内では必需品。
0x004e804e ファルシオン　　鋼鉄でできた大きめの剣。攻撃力はなかなかのもの。
0x004e8090 フレイムソード　炎でつくられた剣その使いやすさと殺傷能力は保証付
0x004e80d2 ライトセイバー　現存する剣の中で最強を誇る剣。
0x004e8102 ファイアの魔法　進行方向へ連射できる。どんな場所でも有効である。
0x004e8144 ファイア　ＤＸ　ファイアの魔法が３つに分裂する。
0x004e8176 サンダーの魔法　雷の槍が敵を　　貫通
0x004e819c ホーミング　　　最高６個の弾が敵を追う。ただし効かない敵もいる。
0x004e81de フォース　　　　自らの魔力を弾にして敵に放つ。
0x004e820e ファイアボール　体内にためた炎を吹き出す。
0x004e823a テイルアタック　強力な回転と尻尾で敵に大きなダメージをあたえる。
0x004e827c アックス　　　　敵を一刀両断に　切り裂く強力な　武器。
0x004e82b4 アイアンクロー　鋭い爪で敵を切り刻む。
0x004e82dc ファイアブレス　体内にためた力を一気に放つ。　　威力絶大
0x004e8316 レザーアーマー　馬の革を何枚も重ねてある。　　　防御能力は低い。
0x004e8358 チェーンメイル　鎖で編まれていて丈夫にできている役にたつだろう。
0x004e839a プレートメイル　鋼鉄でできてるので重いが多少の攻撃なら充分戦える
0x004e83dc ミスリルアーマー数多くの敵と闘うにはこれくらいの鎧は必要である。
0x004e841e ゴールドアーマー現代の技術では最高の強度を持つ鎧である。
0x004e8458 レッドローブ　　魔法使いのマント
0x004e847a ブルーローブ　　魔法使いのマント
0x004e849c イエローローブ　魔法使いのマント
0x004e84be シルバーローブ　魔法使いのマント
0x004e84e0 ゴールドローブ　魔法使いのマント
0x004e8502 ウッドシールド　木製なので軽く

0x004e8650 て動きやすいが防御能力は低い。
0x004e8670 スモールシールドウッドシールドより少し小さいがなかなか丈夫である
0x004e86b2 ラージシールド　スモールシールドと同じ材質の少し大きめの盾。
0x004e86f0 ミスリルシールドこの盾は敵の攻撃を防ぐには充分な効力を持っている
0x004e8732 ゴールドシールドこの盾は最強の盾といえるだろう。
0x004e8764 ブロンズミラー　魔法の力で敵の攻撃を跳ね返す。
0x004e8794 メタルミラー　　魔法の力で敵の攻撃を跳ね返す。
0x004e87c4 プラチナミラー　魔法の力で敵の攻撃を跳ね返す。
0x004e87f4 ミスリルミラー　魔法の力で敵の攻撃を跳ね返す。
0x004e8824 ゴールドミラー　魔法の力で敵の攻撃を跳ね返す。
0x004e8854 無敵　　　　　　一定時間無敵！！
0x004e8876 ヘルメット　　　一定時間上空からの攻撃を防ぐことができる。
0x004e88b2 スパイクブーツ　氷の上でも滑らない。
0x004e88d8 石靴　　　　　　トゲの上でも平気で歩ける。ただしジャンプ力下がる
0x004e891a ツルハシ
0x004e892c ダガー　　　　　投げナイフ。
0x004e894a ブーメラン　　　回転しながら手元にもどってくる、武器。
0x004e8982 オレンジ　　　　体力が２０回復する。
0x004e89a8 チェリー　　　　体力が５０回復する。
0x004e89ce リンゴ　　　　　体力が完全回復する。
0x004e89f4 金塊
0x004e8a06 エリクサー　　　復活剤。
0x004e8a20 ブーメランＤＸ　ブーメランのパワーアップ型。

0x00503639 おう、何の用だい
0x0050364a 　買う
0x00503651 　　売る
0x0050365c 　治療
0x00503663 　　説明
0x0050366d 他にも何か用が　あるかい？
0x0050368e 　買う
0x00503695 　　売る
0x005036a0 　治療
0x005036a7 　　説明
0x005036b3 どれにするかい？
0x005036c5 　でいいかい？
0x005036d6 　ＹＥＳ
0x005036e2 ＮＯ
0x005036e8 そのアイテムを、これ以上持つことは出来ないぞ。
0x00503718 お金が足りねぇな
0x0050372c ありがとうよ
0x0050373a 何を売ってくれるんだい？
0x00503754 になるがどうする
0x00503765 　ＹＥＳ
0x00503771 ＮＯ
0x00503777 これ以上　売れるものがねぇな
0x00503795 治療に　　　　　ゴールド必要だが治療するかい？
0x005037c6 　ＹＥＳ
0x005037d2 ＮＯ
0x005037d8 どこにも異常は　ないようだな。
0x005037f8 気をつけてな‥。

0x0051abfb マテリアル
0x0051ac0b ブラッキィ
0x0051ac27 やはり追ってきおったか。
0x0051ac40 お嬢ちゃんが、わしを捕まえ
0x0051ac5b ようなんて百年早いわ。
0x0051ac74 ここで返り討ちにして
0x0051ac89 くれる。
0x0051ac94 タット…、さっきのお嬢ちゃんに助けてもらったのか。お前なんぞが、何を言っても無駄じゃぞ。
0x0051acef あのまま牢屋で、
0x0051ad00 おとなしくしとれば
0x0051ad13 よかったのじゃ！
0x0051ad2b マテリアル。
0x0051ad3d 先ほどの醜態。
0x0051ad51 みていたぞ。
0x0051ad62 わしたちの与えた、
0x0051ad77 ゴーレムを無駄に
0x0051ad8a しおって…。


0x0051aede 加えなければなるまい…。
0x0051aefc ま、
0x0051af02 待ってくだされ。
0x0051af15 あれは…。
0x0051af22 魔法使い
0x0051af2f マテリアル様が、
0x0051af40 さらわれてしまった！！
0x0051af5b 怪獣
0x0051af62 $	あ〜、
0x0051af6b どこにいったんだガウ！？
0x0051af8e 一体何が起こったのかしら？
0x0051afac ど、どうしたというんだ。
0x0051afc5 お師匠様は！？
0x0051afdc あらっ、
0x0051afe5 あんたブラッキィじゃない。
0x0051b000 こんな所で何してんのよ？
0x0051b03b 結局、助けてくれないんだ
0x0051b054 もんな。
0x0051b05d おかげで、ジャングルを抜け
0x0051b078 出すのに苦労したよ。
0x0051b08e 八あれから、
0x0051b09b 一回村に戻ったんだけどさ、
0x0051b0b6 また抜け出して町へ行って
0x0051b0cf みたんだ。
0x0051b0da で、このまま村にも帰れないし、古代の洞窟にお宝が眠っている
0x0051b115 という噂を思いだしたんで、
0x0051b130 その宝を村のみんなに持って
0x0051b14b 帰ってやろうと思ってね。
0x0051b164 そういえば、この洞窟の中を
0x0051b17f あっちこっち掘っていたら、
0x0051b19a こんな盾を見つけたんだけど、
0x0051b1b7 買ってくれないか？
0x0051b1ca 今なら
0x0051b1d2 ３００Ｇｏｒｄ
0x0051b1e2 でいいよ。
0x0051b1ee 買う
0x0051b1f8 買わない
0x0051b203 *さっきは、どうもありがとう。
0x0051b221 実は、あれからまた村を
0x0051b238 抜け出して町にいこうとしたら、町の門番につっかえされて
0x0051b26f しまったんだ。
0x0051b29d なんて…。
0x0051b2a8 誰だい、君は？
0x0051b2b8 僕の名は、タット。
0x0051b2cb お師匠様を探しに、この洞窟に
0x0051b2e8 やって来ました。
0x0051b2f9 ところで、君はなんでこんな
0x0051b314 所に？
0x0051b32f ただの遊び人さ。
0x0051b340 なんでも、この洞窟のどこかに
0x0051b35d すごいお宝があるっていう話を
0x0051b37a 聞いて、来てみたんだ。
0x0051b3a0 お金を持っていないじゃないか。しょうがないなぁ。
0x0051b3fa しよう。
0x0051b403 よし。
0x0051b40a ジャングルでは世話になったし、お礼にタダであげちゃおう！
0x0051b444 ま、それぐらいは当然かな。
0x0051b461 ありがと。
0x0051b48c タダにしてあげよう！
0x0051b4a1 そのかわり、必ずお師匠様を
0x0051b4bc 見つけるんだぜ。
0x0051b4ce ありがとう。
0x0051b4fb しよう。
0x0051b509 盾をもらいました
0x0051b536 あるんだが、この岩が邪魔で
0x0051b551 先に進めないんだ。
0x0051b564 でも、こんなこともあろうかと
0x0051b581 爆弾を持ってきてあるのさ。
0x0051b59c さぁ、いくぞ。
0x0051b5ab ちょっと離れててくれ。
0x0051b5d6 さぁ、耳をふさいで…。
0x0051b5f0 爆発の震動で、
0x0051b5ff 天井の岩が崩れそうだ。
0x0051b61e 危ない！
0x0051b627 早く逃げなきゃ！！
0x0051b63b 危ない！
0x0051b644 ブラッキィさん、
0x0051b655 早く逃げましょう！！
0x0051b676 何してんのよ！
0x0051b685 早く逃げないと危ないわよ！
0x0051b6a4 $"ブラッキィさん。
0x0051b6b7 早く逃げないと！
0x0051b784 聲激[K8
0x0051b800 わかっているけど荷物が重くて。ちょっと待ってくれよ、
0x0051b835 今荷物を降ろすから…。
0x0051b856 なにやってんのよ、まったく。
0x0051b876 早く逃げないから、こんなことになんのよ。
0x0051b8a3 $%ブラッキィさん。
0x0051b8b6 大丈夫ですか！？
0x0051b8cf いやぁ、また失敗してしまった。どうやら、洞窟内で爆弾を
0x0051b906 使うのは危険みたいだな。
0x0051b921 何か、岩を砕くものがあれば
0x0051b93c いいんだけど…。
0x0051b94f この洞窟には、出口が２か所
0x0051b96a あるんだ。
0x0051b977 ひとつは、この先へいくとすぐにあって、もうひとつは
0x0051b9aa 反対側にあるんだ。
0x0051b9bf だが、もうひとつのほうはカギがかかってて開けることが、
0x0051b9f6 できない。
0x0051ba08 $ 君には、また借りを作ってしまうことになるんだけど、頼む！
0x0051ba43 僕を、ここからだしてくれ！
0x0051ba5e $!助けてくれよ！
0x0051ba6f 頼む！
0x0051ba76 僕を、ここからだしてくれ！
0x0051ba91 $!助けてくれよ！
0x0051bab2 早く助けてくれ！！
0x0051bacd $-ちょっと待ってよ。
0x0051bae2 助けてあげたいのは、
0x0051baf7 やまやまだけど、
0x0051bb08 $.どうやってこの岩を、
0x0051bb1f 崩せばいいのかな…。
0x0051bb34 $/あ、そうそう。
0x0051bb45 この洞窟をうろうろしてたら
0x0051bb60 怪獣と会ったわよ。
0x0051bb73 $0追っかけて岩を崩す道具のこと
0x0051bb92 聞いたら、何も教えてくれないで逃げちゃったけど。
0x0051bbc7 $;すみません。　一生懸命、岩を
0x0051bbe6 崩す道具を探しているんですけどなかなか見つからなくて…。
0x0051bc1f $<探している途中で怪獣がいたんで追いかけて聞いてみたんですけど何もいわずに、
0x0051bc6c 逃げちゃったんです。
0x0051bc9a 怪獣たちは、侵入者をえらく
0x0051bcb5 嫌うらしいからね。
0x0051bcc8 $2僕も、ちょっかいだして
0x0051bce1 かまれたことがあったよ。
0x0051bcfa ところで、その怪獣が逃げてったのはどの辺だい？
0x0051bd31 $3あんたがさっき言ってた、
0x0051bd4c あの反対側の出入り口あたりよ。
0x0051bd6f $?さっきブラッキィさんが、
0x0051bd8a 言っていた、反対側の出口
0x0051bda3 あたりですけど。
0x0051bdc7 怪獣たちは、横穴みたいな
0x0051bde0 所へ逃げこんだだろ？
0x0051bdf5 $5多分、そこが怪獣の巣なんだ。
0x0051be14 そこへ行けば、何かあるかも
0x0051be2f しれない。
0x0051be42 $6でも、高い所にあって
0x0051be59 届かないのよ。
0x0051be68 $7何か、踏台みたいなものが
0x0051be83 あればいいんだけど…。
0x0051be9e $Bでも、その横穴は高い所に
0x0051beb9 あって。
0x0051bec2 $Cもう少しで届きそうなので
0x0051bedd 何か台かなんかあれば
0x0051bef2 いいんですけど。
0x0051bf60 $E爆弾は
0x0051bf6a 僕の村
0x0051bf75 行けばあるはずだ。
0x0051bf88 $Fさぁ、急いでくれ！
0x0051bf9d 僕の為に！！
0x0051c130 よね。
0x0051c13b とりあえずこの辺に
0x0051c14e 置いてみよう。
0x0051c1b3 そんないいものがあったんだ。
0x0051c1d0 $Hちょっと、貸してくんない？
0x0051c207 $Lあ゛〜！
0x0051c21c ブラッキィ！
0x0051c229 危なーい！！
0x0051c23a $$ブラッキィさん！
0x0051c24d 危なーい！！
0x0051c265 そんなに逃げないでよ。
0x0051c27c 別に取って食おうってわけじゃ
0x0051c299 ないんだから。
0x0051c2aa 怪獣
0x0051c2b1 ・・・・・。
0x0051c2bf あたしの知合いがさ、岩崩れで
0x0051c2dc 閉じ込められたのよ。
0x0051c2f1 その岩を崩すのに必要な道具が
0x0051c30e 欲しいんだけどさ、持ってない？
0x0051c32f 怪獣
0x0051c336 オレたちのドークツ。
0x0051c34d こわすやつ
0x0051c359 ゆるさない。"
0x0051c370 そんな逃げないで話を聞いてよ。何もしないからさ。
0x0051c3a3 怪獣
0x0051c3aa ・・・・・。
0x0051c3b8 僕の知合いが、岩崩れで
0x0051c3cf 閉じ込められてしまったんだ。
0x0051c3ec 彼を助け出すために
0x0051c3ff 岩を崩す道具が必要なんだけど
0x0051c41c 持ってないかい？
0x0051c42f 怪獣
0x0051c436 オレたちのドークツ。
0x0051c44d こわすやつ
0x0051c459 ゆるさない。"
0x0051c483 ここじゃないよー！
0x0051c496 向こうだよ。　向こう！！
0x0051c4bd 早く助けてくれ！！
0x0051c4d8 さっき、
0x0051c4e1 つるはしを手にいれたっけ
0x0051c4fb さっき、
0x0051c504 つるはしを手にいれたっけ
0x0051c51e 鍵を持っていない。
0x0051c539 これを使えば、助けられるわね。
0x0051c559 これを使って、助けよう。

0x00543dce ショートソード　軽量で扱いやすい剣。しかし、殺傷能力は低い。
0x00543e0c ロングソード　　長さ１ｍほどの長剣。化物の多い洞窟内では必需品。
0x00543e4e ファルシオン　　鋼鉄でできた大きめの剣。攻撃力はなかなかのもの。
0x00543e90 フレイムソード　炎でつくられた剣その使いやすさと殺傷能力は保証付
0x00543ed2 ライトセイバー　現存する剣の中で最強を誇る剣。
0x00543f02 ファイアの魔法　進行方向へ連射できる。どんな場所でも有効である。
0x00543f44 ファイア　ＤＸ　ファイアの魔法が３つに分裂する。
0x00543f76 サンダーの魔法　雷の槍が敵を　　貫通
0x00543f9c ホーミング　　　最高６個の弾が敵を追う。ただし効かない敵もいる。
0x00543fde フォース　　　　自らの魔力を弾にして敵に放つ。
0x0054400e ファイアボール　体内にためた炎を吹き出す。
0x0054403a テイルアタック　強力な回転と尻尾で敵に大きなダメージをあたえる。
0x0054407c アックス　　　　敵を一刀両断に　切り裂く強力な　武器。
0x005440b4 アイアンクロー　鋭い爪で敵を切り刻む。
0x005440dc ファイアブレス　体内にためた力を一気に放つ。　　威力絶大
0x00544116 レザーアーマー　馬の革を何枚も重ねてある。　　　防御能力は低い。
0x00544158 チェーンメイル　鎖で編まれていて丈夫にできている役にたつだろう。
0x0054419a プレートメイル　鋼鉄でできてるので重いが多少の攻撃なら充分戦える
0x005441dc ミスリルアーマー数多くの敵と闘うにはこれくらいの鎧は必要である。
0x0054421e ゴールドアーマー現代の技術では最高の強度を持つ鎧である。
0x00544258 レッドローブ　　魔法使いのマント
0x0054427a ブルーローブ　　魔法使いのマント
0x0054429c イエローローブ　魔法使いのマント
0x005442be シルバーローブ　魔法使いのマント
0x005442e0 ゴールドローブ　魔法使いのマント
0x00544302 ウッドシールド　木製なので軽く

0x00544450 て動きやすいが防御能力は低い。
0x00544470 スモールシールドウッドシールドより少し小さいがなかなか丈夫である
0x005444b2 ラージシールド　スモールシールドと同じ材質の少し大きめの盾。
0x005444f0 ミスリルシールドこの盾は敵の攻撃を防ぐには充分な効力を持っている
0x00544532 ゴールドシールドこの盾は最強の盾といえるだろう。
0x00544564 ブロンズミラー　魔法の力で敵の攻撃を跳ね返す。
0x00544594 メタルミラー　　魔法の力で敵の攻撃を跳ね返す。
0x005445c4 プラチナミラー　魔法の力で敵の攻撃を跳ね返す。
0x005445f4 ミスリルミラー　魔法の力で敵の攻撃を跳ね返す。
0x00544624 ゴールドミラー　魔法の力で敵の攻撃を跳ね返す。
0x00544654 無敵　　　　　　一定時間無敵！！
0x00544676 ヘルメット　　　一定時間上空からの攻撃を防ぐことができる。
0x005446b2 スパイクブーツ　氷の上でも滑らない。
0x005446d8 石靴　　　　　　トゲの上でも平気で歩ける。ただしジャンプ力下がる
0x0054471a ツルハシ
0x0054472c ダガー　　　　　投げナイフ。
0x0054474a ブーメラン　　　回転しながら手元にもどってくる、武器。
0x00544782 オレンジ　　　　体力が２０回復する。
0x005447a8 チェリー　　　　体力が５０回復する。
0x005447ce リンゴ　　　　　体力が完全回復する。
0x005447f4 金塊
0x00544806 エリクサー　　　復活剤。
0x00544820 ブーメランＤＸ　ブーメランのパワーアップ型。

0x00545bc9 アイアンソード
