
0x0011417f ファイアー
0x0011e600 ［ミル］
0x0011e60d ムリもありません。あれ
0x0011e624 だけ強力な結界をはっていれば
0x0011e643 ふつうの人には見えるハズないんですよ。
0x0011e670 ［ミリー］
0x0011e67f あっ！　
0x0011e68a 見えなくなっちゃった・・・。
0x0011e6ad ［フレイ］
0x0011e6bc ねえ、ミル。じゃあ、どうしてミリーには
0x0011e6e3 見えたのかしら？
0x0011e6fa ［ミル］
0x0011e709 ・・・う〜ん、もしかし
0x0011e720 たら・・・
0x0011e72d ミリーさんは、強い魔力を持って
0x0011e74c いるのかもしれませんね。
0x0011e76b ［ミリー］
0x0011e77a ホント？
0x0011e784 やっぱ、あたしってば天才！
0x0011e7a5 ［ミル］
0x0011e7b2 それにしても一体だれが
0x0011e7c9 あんなモノを
0x0011e7d7 ・・まさか！？
0x0011e7ec ［フレイ］
0x0011e7fb まさか、なに？
0x0011e80c ひょっとして、今回の事件と関係
0x0011e82b あるって言うんじゃ？
0x0011e846 ［ミル］
0x0011e853 そのとおりですよ。
0x0011e868 いや、もしかするとこのサーク界
0x0011e887 の一大事となるかも・・・。
0x0011e8a4 なんとかしてアイツをくいとめないと。
0x0011e8cf ［フレイ］
0x0011e8de アイツ？
0x0011e8ed ［ミリー］
0x0011e8fc あれ、おじいちゃんの声？
0x0011e91b ［フレイ］
0x0011e92a いっけなぁ〜い、その
0x0011e93f コトすっかり忘れてた。
0x0011e95c ［ミル］
0x0011e969 フレイさん、どうかしたんですか？
0x0011e990 ［フレイ］
0x0011e99f ごめん、ミル。
0x0011e9b0 私ちょっと別の用事で、レイジア
0x0011e9cf の村へ行かなきゃならないの。
0x0011e9f2 ［ミル］
0x0011e9ff わかりました。
0x0011ea10 私はなんとか空中城へ行く方法を
0x0011ea2f 考えてみます。
0x0011ea44 ［ミリー］
0x0011ea53 早く帰ってきてね、　フレイおねえちゃん。
0x0011ea82 ［ミリー］
0x0011ea91 早く帰ってきてね、　フレイおねえちゃん。
0x0011eac0 ［ミル］
0x0011eacd 私はもう少し、ミリーさんとお話がありますので。
0x0011eb02 ［フレイ］
0x0011eb11 あのー・・・
0x0011eb24 ［おばさん］
0x0011eb35 いま、大事な話をし
0x0011eb48 てるんだよ。静かにしとくれ。
0x0011eb6b ［おばさん］
0x0011eb7c ここしばらく、町の
0x0011eb8f 若い子がいなくなっててねぇ。
0x0011ebae おじょうちゃんも、気をつけるんだよ。
0x0011ebd9 ［フレイ］
0x0011ebe8 あ、あのー・・・何かあったんですか？
0x0011ec13 ［おじさん］
0x0011ec24 じょうちゃんも知っ
0x0011ec37 てるだろ、ゆうかい事件の話。
0x0011ec56 この町のモンも、何人かソイツに
0x0011ec75 やられてな。ヤな世の中だぜ。
0x0011ec98 ［おじいさん］
0x0011ecab ほんに困ったことじゃのう。
0x0011ecc8 おまえさんもそう思うじゃろ？
0x0011ecea ［おじいさん］
0x0011ecfd そうじゃろう。　そうじゃろう。
0x0011ed22 ［おじいさん］
0x0011ed35 まったく、おまえさんの言うとおりじゃ。
0x0011ed62 ［メネア］
0x0011ed71 ねぇ、サムス。
0x0011ed82 今日はあなたのために、腕により
0x0011eda1 をかけてゴハンを作ったのよ。
0x0011edc4 ［サムス］
0x0011edd3 メネアが作ったものなら何だってオイシイよ。
0x0011ee04 ［メネア］
0x0011ee13 食べさせてあげる。　
0x0011ee28 あ〜〜〜ん。
0x0011ee3b ［サムス］
0x0011ee4c あ〜〜〜〜〜〜ん。
0x0011ee65 ［フレイ］
0x0011ee74 どうやら、ここには誰も住んでないみたいね。
0x0011eea5 ［フレイ］
0x0011eeb4 あれれ？　こんなトコ
0x0011eec9 来てもしようがないじゃない。
0x0011eeec ［ミル］
0x0011eef9 おや？　フレイさん、　今おかえりですか？
0x0011ef24 そちらの方は・・・
0x0011ef39 先生！　アイザック先生ではありませんか！？
0x0011ef6a ［フレイ］
0x0011ef79 ミル、知ってんの？
0x0011ef92 ［ミル］
0x0011ef9f この方は私の恩師で、　魔法学校も主席で卒業された
0x0011efd2 “大魔導士アイザック”、その人ですよ。
0x0011effd ・・・ヘンですね、魔導講義中に
0x0011f01c お話ししたハズですが？
0x0011f039 ［フレイ］
0x0011f04a そ・・・
0x0011f054 そう言えば、
0x0011f061 そうだったわね。あはははは。
0x0011f084 ［アイザック］
0x0011f097 思わぬところで　ボロが出たのう。
0x0011f0be ［フレイ］
0x0011f0cd そ、それよりもミル。あのね、えーと・・・
0x0011f0fc ［アイザック］
0x0011f10f 話はこの娘から聞
0x0011f120 かせてもらったぞ。
0x0011f135 もはやグズグズしてはおれん。
0x0011f158 ［ミル］
0x0011f165 では、あれを？
0x0011f17a ［アイザック］
0x0011f18d うむ。
0x0011f19a ［アイザック］
0x0011f1ad フレイとやら。
0x0011f1be おまえさんに、これを渡しておこう。
0x0011f1e7 ［フレイ］
0x0011f1f8 これは・・・？
0x0011f20d ［アイザック］
0x0011f220 『封印のカギ』と言ってな。
0x0011f23d 秘宝『神々のツバサ』の力を解き
0x0011f25c 放つのに必要なモノじゃ。
0x0011f277 おまえさんは北の門からバルナス
0x0011f296 火山へ向かってくれ。
0x0011f2ad その奥深くに『神々のツバサ』が
0x0011f2cc 眠っておるハズじゃ。
0x0011f2e7 ［ミル］
0x0011f2f4 火山の奥には、宝を守る
0x0011f30b ガーディアンがいるそうです。
0x0011f32a くれぐれも気をつけてください。
0x0011f34f ［フレイ］
0x0011f35e わかったわ。
0x0011f371 ［ミリー］
0x0011f380 フレイおねえちゃん、
0x0011f395 気をつけてね。
0x0011f3aa ［フレイ］
0x0011f3b9 心配ないわ、ミリー。
0x0011f3ce じゃ、行ってきます。
0x0011f3e9 ［おばさん］
0x0011f3fa ああ、ミリーのことかい？
0x0011f415 おじいさんを助けて、元気にふる
0x0011f434 まってるのがケナゲだねえ。
0x0011f455 ［おばさん］
0x0011f466 あちこちで若い子が
0x0011f479 行方不明になってるそうだね。
0x0011f498 おじょうちゃんも気をつけた方がいいよ。
0x0011f4c5 ［おじさん］
0x0011f4d6 北のバルナス火山も
0x0011f4e9 以前は活気があったんだがな。
0x0011f508 モンスターがウロつくようになっ
0x0011f527 てからは、誰も寄りゃしねぇ。
0x0011f54a ［フレイ］
0x0011f559 あの、ラトク・カート
0x0011f56e っていう人をごぞんじですか？
0x0011f591 ［おじいさん］
0x0011f5a4 ほんにのう。今日も天気がええのう。
0x0011f5cd ［ミリー］
0x0011f5dc さっき、ミルから魔法
0x0011f5f1 学校の話を聞いてたの。
0x0011f60a あたしもミルセイアへ行ってみたいな。
0x0011f635 ［ミル］
0x0011f642 私たちは、これからの　
0x0011f659 段取りがありますので。
0x0011f676 ［フレイ］
0x0011f685 ふぅ〜ん段取りねぇ。何が始まるのかしら？
0x0011f6b4 ［アイザック］
0x0011f6c7 え〜い、何をグズ
0x0011f6d8 グズしておる！
0x0011f6e9 さっさとバルナス火山へ行ってこんか！
0x0011f714 ［メネア］
0x0011f723 ねぇ、サムス。
0x0011f734 今日はあなたのために、腕により
0x0011f753 をかけてゴハンを作ったのよ。
0x0011f776 ［サムス］
0x0011f785 メネアが作ったものなら何だってオイシイよ。
0x0011f7b6 ［メネア］
0x0011f7c5 食べさせてあげる。　
0x0011f7da あ〜〜〜ん。
0x0011f7ed ［サムス］
0x0011f7fc あ〜〜〜〜〜〜ん。
0x0011f815 ［フレイ］
0x0011f826 ・・・・・・・・。
0x0011f83f ［フレイ］
0x0011f84e ここには誰も住んでないのね。
0x0011f871 ［フレイ］
0x0011f882 ・・・ってあれ？
0x0011f899 ［フレイ］
0x0011f8a8 ・・・だれもいない。
0x0011f8c3 ［フレイ］
0x0011f8d2 ミル！　どこ行ってたのよ。
0x0011f8f3 ［ミル］
0x0011f900 ミリーさんにケタはずれ
0x0011f917 の魔力があるのは確実です。
0x0011f934 おそらく、そこに目をつけられた
0x0011f953 のではないかと・・・。
0x0011f970 ［フレイ］
0x0011f97f だからって・・・
0x0011f996 ［ミル］
0x0011f9a3 とにかく今は急いでください。
0x0011f9c2 『神々のツバサ』は手に入れられましたか？
0x0011f9f1 ［フレイ］
0x0011fa00 モチロンよ。はい、これが『神々のツバサ』。
0x0011fa31 ［ミル］
0x0011fa3e ありがとうございます、フレイさん。
0x0011fa63 では、私たちは町の西にあるガケ
0x0011fa82 の先で準備していますので。
0x0011fa9f 十分な装備をととのえたら、声を
0x0011fabe かけてください。
0x0011fad5 ［フレイ］
0x0011fae4 わかったわ、ミル。
0x0011fafd ［アイザック］
0x0011fb10 準備はよいか？
0x0011fb24 ［フレイ］
0x0011fb33 お手やわらかにおねが
0x0011fb48 いしますね、アイザック先生。
0x0011fb6b ［アイザック］
0x0011fb7e わかっておる。
0x0011fb93 ［フレイ］
0x0011fba2 あの、もうちょっと時間を・・・。
0x0011fbc9 ［アイザック］
0x0011fbdc なぁ〜にをグズグズしておるか！
0x0011fc01 ［ミル］
0x0011fc0e 準備はいいですか？
0x0011fc26 ［フレイ］
0x0011fc35 はい。ぐずぐずしていられません。
0x0011fc58 おねがいします。
0x0011fc6f ［フレイ］
0x0011fc7e あの、もうちょっと時間を・・・。
0x0011fca5 ［ミル］
0x0011fcb2 フレイさん、急いでください！
0x0011fcd5 ［フレイ］
0x0011fce4 すご〜い、空に浮いてるわ！
0x0011fd05 ［ミル］
0x0011fd12 フレイさん。私たちもできるかぎり手助けします。
0x0011fd43 これから支援アイテムの転送準備
0x0011fd62 にかかります。
0x0011fd73 うまく敵の攻撃のスキをついて、受けとってください。
0x0011fdac ［アイザック］
0x0011fdbf 城のまわりのモン
0x0011fdd0 スターに気をつけるのじゃぞ。
0x0011fdf3 ［フレイ］
0x0011fe02 わかったわ。
0x0011fe11 ミル、アイザック先生、行ってきます！
0x0011fe3c ［サムス］
0x0011fe4b キ、キミ！　メネアを
0x0011fe60 知らないか！？
0x0011fe71 買い物に出かけたまま、帰らないんだ。
0x0011fe9c ［フレイ］
0x0011fead さ、さぁ・・・
0x0011febd 知りませんけど。
0x0011fed4 ［サムス］
0x0011fee3 ああっ、メネア。
0x0011fef6 まさかキミまでがさらわれてしまうなんて！
0x0011ff21 ああ、どうしよう、どうしよう。
0x0011ff46 ［フレイ］
0x0011ff55 ・・・だれもいないのかな？
0x0011ff76 ［フレイ］
0x0011ff85 空き家みたいだけど、だれも入居しないのかしら？
0x00120000 いのかしら？
0x00120805 う、ういてるわ！
0x0012081c ［ミル］
0x00120829 フレイさん。私たちもできるかぎり手助けします。
0x0012085a これから、支援アイテムの転送準
0x00120879 備にとりかかります。
0x00120890 うまく敵の攻撃のスキをついて、受けとってください。
0x001208c9 ［アイザック］
0x001208dc それからな。
0x001208eb どうも城のまわりをガードしとる
0x0012090a モンスターがいるようじゃ。
0x00120927 くれぐれも気をつけるのじゃぞ。
0x0012094c ［フレイ］
0x0012095b わかったわ。
0x0012096a ミル、アイザック先生、行ってきます！
0x00120993 ［おばさん］
0x001209ab ［フレイ］
0x001209c1 ［おばさん］
0x001209d2 人さらいだなんて、
0x001209e5 イヤな世のなかだねぇ。
0x001209fe おじょうちゃんも、暗くならない
0x00120a1d うちにおかえり。
0x00120a34 ［フレイ］
0x00120a43 あ、あのー・・・、腰はだいじょうぶですか？
0x00120a74 ［おじさん］
0x00120a85 おうっ、ったりめぇよ！　ホレ・・・
0x00120aae ［フレイ］
0x00120abd わ〜〜〜っ！　も、もういいですからっ！
0x00120aea ［フレイ］
0x00120af9 おじいさん。私とラト
0x00120b0e クさんは恋人どうしなのよ。
0x00120b2f ［おじいさん］
0x00120b42 ほんにのう。めでたいことじゃて。
0x00120b69 ［フレイ］
0x00120b78 （ふふん、なんとなくいい気分。）
0x00120b9f ［おじいさん］
0x00120bb2 ほんにのう。こりゃ明日は雨じゃな。
0x00120bdb ［フレイ］
0x00120bea （ふ、不吉なコトゆーわねー。）
0x00120c0f ［サムス］
0x00120c1e キ、キミ！　メネアを
0x00120c33 知らないか！？
0x00120c44 買い物に出かけたまま、帰らないんだ。
0x00120c6f ［フレイ］
0x00120c80 さ、さぁ・・・
0x00120c90 知りませんけど。
0x00120ca7 ［サムス］
0x00120cb6 ああっ、メネア。
0x00120cc9 まさかキミまでがさらわれてしまうなんて！
0x00120cf8 ［フレイ］
0x00120d09 ・・・・・ルスかな？だれもいないみたい。
0x00120d38 ［村長］
0x00120d45 ミリーがさらわれたですと！？
0x00120d64 おお、なんということだ・・・。
0x00120d85 フレイさん、どうかあの子を助け
0x00120da4 てやってください。
0x00120db9 お願いします。
0x00120dce ［フレイ］
0x00120ddd もちろんです。あとの
0x00120df2 ことは、まかせてください。
0x00120e13 ［村長］
0x00120e20 気をつけて行きなされよ。

0x001263eb ［フレイ］
0x001263f8 落っこちるのヤだから
0x0012640d こっからテレポートしちゃえ。
0x00126430 ［フレイ］
0x0012643f 今度も華麗なジャンプをきめてみせるわ。
0x0012646a ［ミル］
0x00126477 わぁっ！
0x00126480 アイザック先生！？
0x00126499 ［フレイ］
0x001264aa ひょ・・ひょっとして先生が・・・？
0x001264d3 ［アイザック］
0x001264e6 さよう。
0x001264f0 前にも言ったであろう。
0x00126509 わしは、ちょいと先のことが見えるとな。感謝せいよ。
0x00126542 ［フレイ］
0x00126551 はあ・・・
0x00126562 ［ミリー］
0x00126571 おじいちゃん、
0x00126580 ありがとう！
0x00126593 ［アイザック］
0x001265a6 うむうむ、
0x001265b3 だれかさんと違って、スナオで　
0x001265d2 ええ子じゃのう。
0x001265e9 ［フレイ］
0x001265f8 フンだ！
0x00126607 ［アイザック］
0x0012661a ほっほっほっ。
0x0012662a では、町に戻るとするかの。
0x0012664a ［ミリー］
0x00126659 今夜はきっと、みんな
0x0012666e で大宴会ね。
0x00126681 ［フレイ］
0x00126690 みんな楽しそうね。
0x001266a9 ［ルトク］
0x001266b8 オレたちもぞんぶんに楽しもうぜ。
0x001266db なんたってオレたちが主役なんだからよ。
0x00126708 ［フレイ］
0x00126717 元気ねぇ。ルトク、傷はもういいの？
0x00126740 ［ルトク］
0x0012674f ああ。ダテにこの体、きたえちゃいないよ。
0x0012677a お！　あのコ、なかなかカワイイじゃねえか。
0x001267ab ［おにいさん］
0x001267be や〜っぱ祭りはいいやね！
0x001267d9 ホラ、おまえさんも飲みな！
0x001267fa ［おじさん］
0x0012680b みんな無事でなによりだ。
0x0012682a ［おじさん］
0x0012683b じょうちゃん、
0x0012684b 酒だ！　酒が足りんぞ！
0x00126868 ［おじさん］
0x00126879 いやいや、やっぱ　タダで飲む酒はうめぇや。
0x001268aa ［おじさん］
0x001268bb お、じょうちゃんもいっぱいやるかい？
0x001268e6 ［おじさん］
0x001268f7 いろいろあったが、どうやら一件落着ってとこか？
0x0012692c ［おにいさん］
0x0012693f パァーッといこうやパァーッと！
0x00126964 ［おじさん］
0x00126975 おうっ、オレの酒が飲めねぇってぇのか、テメェ！
0x001269a6 うぃっく。
0x001269b7 ［おにいさん］
0x001269ca こんなに楽しい思いをしたのは久しぶりだな。
0x001269fb ［おじさん］
0x00126a0c がっはははははっ！
0x00126a25 ［おにいさん］
0x00126a38 いいぞー、もっと　やれーぃっ！
0x00126a5d ［おにいさん］
0x00126a70 このイカのシッポ、やけにでかいな。
0x00126a95 なんでも、レイティア湖でとれたものらしいが。
0x00126ac8 ［おじさん］
0x00126ad9 ねーちゃんが出てこんぞー！
0x00126afa ［おねえさん］
0x00126b0d 今日ぐらい楽しんだっていいわよね。
0x00126b36 ［おねえさん］
0x00126b49 星がきれいな夜だわ。
0x00126b64 ［おねえさん］
0x00126b77 ふぅっ、ちょっと酔っちゃったな。
0x00126b9e ［おねえさん］
0x00126bb1 ねぇねぇ、
0x00126bbe あのリュートもった人、なかなかいいじゃない？
0x00126bf1 ［おねえさん］
0x00126c04 静かな所へ行って休もうかな。
0x00126c27 ［おねえさん］
0x00126c3a きゃー！　サインちょーだいー！
0x00126c5f ［おねえさん］
0x00126c72 だれよ、オシリ　さわってんのはっ！
0x00126c9b ［おねえさん］
0x00126cae あれ、今日なにかの記念日だっけ？
0x00126cd5 ［おねえさん］
0x00126ce8 あそこにいる魔法使いのおにいさんだけど。
0x00126d13 カッコいいと思わない？
0x00126d30 ［おねえさん］
0x00126d43 ひゅーひゅー、　こっち向いてぇーん！
0x00126d6e ［おねえさん］
0x00126d81 さぁー飲むぞー！
0x00126d98 ［おねえさん］
0x00126dab あははー、お空がグルグル回ってるぅ〜！
0x00126dd8 ［おねえさん］
0x00126deb うぅぇっぷ！
0x00126df8 ・・ぢょっど飲びずぎだがな？
0x00126e1b ［おばさん］
0x00126e2c だれが『おばさん』よ、失礼ね！
0x00126e4d 私はまだ２８よ！
0x00126e64 ［おじいさん］
0x00126e77 ほんに、みんな　無事でなによりじゃ。
0x00126ea2 ［おじいさん］
0x00126eb5 平和がいちばん　じゃのう。
0x00126ed6 ［おじいさん］
0x00126ee9 あ〜、よかよか。
0x00126f00 ［おじいさん］
0x00126f13 ほっほっほっ、　踊り子さんはおらんかいのう。
0x00126f46 ［おじいさん］
0x00126f59 みんな楽しそう　じゃのう。
0x00126f7a ［おじいさん］
0x00126f8d 酒はもうケッコウじゃよ。
0x00126fac ［おじいさん］
0x00126fbf いえいえい！
0x00126fce ワシもまだ若いモンには負けとらんぞ。
0x00126ff9 ［おじいさん］
0x0012700c じょうちゃん、　ワシと踊らんか？
0x00127033 ［おじいさん］
0x00127046 明日も晴れるかのう。
0x00127061 ［おじいさん］
0x00127074 バアさんも来ればよかったのにのぉ。
0x0012709d ［おじいさん］
0x001270b0 今の若いモンは　・・・ういっく。
0x001270d7 ［おじいさん］
0x001270ea ほっほっほっほっほっほっ。
0x0012710b ［おじいさん］
0x0012711e いやぁ〜っ、めでたいのぉ。
0x0012713f ［助かった人］
0x00127152 あなたにはいろいろと世話になったみたいね。
0x0012717f ありがとう。
0x00127192 ［助かった人］
0x001271a5 ショックで寝こんだまんまのコもいるらしいけど
0x001271d4 とりあえず私はもう平気よ。
0x001271f5 ［助かった人］
0x00127208 あ、あのー・・・
0x0012721a 眠らされてる間、ねごとでなにか
0x00127239 言ってませんでした？
0x00127254 ［助かった人］
0x00127267 ありがとう。明日ふるさとへ帰るよ。
0x00127290 ［楽隊のおにいさん］
0x001272aa ぴーひゃら、ぴーひゃらら〜
0x001272cb ［楽隊のおにいさん］
0x001272e5 どんどん、ちゃっちゃ
0x00127300 ［楽隊のおにいさん］
0x0012731a どがちゃん、どがちゃん
0x00127337 ［楽隊のおにいさん］
0x00127351 ぴるるるるる〜
0x00127366 ［楽隊のおにいさん］
0x00127380 じょうちゃん、ノッてるねぇ。
0x001273a3 ［楽隊のおにいさん］
0x001273bd じゃぁ〜ん、じゃぁぁぁ〜ん
0x001273de ［楽隊のおにいさん］
0x001273f8 ぶび〜〜〜〜、ぶび〜〜〜〜
0x00127419 ［楽隊のおにいさん］
0x00127433 ぽぺろろろん、ぴろろん
0x00127450 ［楽隊のおにいさん］
0x0012746a ららら〜
0x00127479 ［楽隊のおにいさん］
0x00127493 朝まで歌いまくるぜっ！
0x001274b0 ［ミル］
0x001274bd やぁ、フレイさん。なかなか楽しいですねぇ。
0x001274ee ［アイザック］
0x00127501 ワシらはワシらで好きにやらせてもらっておる。
0x00127530 おまえさんも、ノンビリしていくがよかろう。
0x00127561 ［メネア］
0x00127570 サムス、あなたって　
0x00127585 勇気があるのね。
0x00127598 あなたが助けに来てくれたとき、
0x001275b7 とってもうれしかった。
0x001275d4 ［サムス］
0x001275e3 当然だよ、メネア。
0x001275f8 キミのためなら、『たとえ火の中水の中』さ。
0x00127629 ［メネア］
0x00127638 ああ、サムス・・・！
0x00127653 ［サムス］
0x00127662 メネア！！
0x00127673 ［ミリー］
0x00127682 フレイおねえちゃん、楽しい？
0x001276a5 ［フレイ］
0x001276b4 ええ、とっても。
0x001276cb ［ミリー］
0x001276da よかったぁ。フレイおねえちゃんに喜んでもらえて。
0x00127711 ［フレイ］
0x00127720 やーねー、ルトク。　女の人の後ばっかついてって。
0x00127757 ［ルトク］
0x00127766 だれも、んなコトしてねぇだろ！
0x00127787 お゛・・・！？
0x00127796 なんだ、あれ！？
0x001277ad ［フレイ］
0x001277bc え！？
0x001277c3 なになに！？　どこどこ！？
0x001277e4 ［ルトク］
0x001277f3 お、あっちのコもなかなか・・。
0x00127818 ［フレイ］
0x00127827 あら、あなたも来てたの？
0x00127846 ［商人］
0x00127853 へぇ、そのセツはお世話さんで。
0x00127878 ［フレイ］
0x00127887 こちらこそ。城では　いろいろ助けてもらったわね。
0x001278be ［商人］
0x001278cb これで明日からまた、　マトモな商売ができます。
0x001278fc そや。明日から言わんと、今から始めさせてもらいますわ。
0x00127939 ［商人］
0x00127946 旅の記念にどうでっか？
0x00127963 ［エルマ］
0x00127972 今日はもう店じまいだよ。
0x0012798d けっ、これが飲まずにやってられ
0x001279ac るかってんだ。うぃっく。
0x001279cb ［町長］
0x001279d8 ええ〜と、酒ビン３ケースに、ツマミと照明代に・・・
0x00127a0d ふぅ・・・・・・・・・・。
0x00127a2e ［ラゼル］
0x00127a3d ・・・さて、ミリーが
0x00127a52 なんと言うかのう。
0x00127a67 ・・・ふぅ・・・
0x00127a79 ともかく今夜、話してみるか。
0x00127a9c ［おばさん］
0x00127aad やっと一段落ついたわね。
0x00127acc ［おばさん］
0x00127add 男どもときたら、
0x00127af0 酒が足りんだの、ツマミが切れただのと。
0x00127b1d ［おばさん］
0x00127b2e よくまぁ、あれだけすき勝手が言えたもんだね。
0x00127b61 ［おばさん］
0x00127b72 女のあたしらを、な
0x00127b85 んだと思ってるんだろうねぇ。
0x00127ba8 ［ゼラばあさん］
0x00127bbf あ、あだだ、持病のシャクが・・・。
0x00127be4 わ、わだすも若い男がぎょうさん
0x00127c03 おる所へ行きてぇ・・・
0x00127c1c 　　　　−　その夜　−
0x00127c33 　　　　−　次の日　−
0x00127c4e ［フレイ］
0x00127c5d いたたたた・・・。
0x00127c72 もうっ、どうして急にツバサが
0x00127c90 消えちゃうのよっ！
0x00127ca9 ［アヤシイ男］
0x00127cbc な、なんでっか、
0x00127ccd あんさんは！？
0x00127cde いきなり空からわいてきよってからに。
0x00127d09 ［フレイ］
0x00127d18 そ、そーゆーあなたこそ何よっ！？
0x00127d3b もしかして、あなたが闇の大魔導士アマドゥク！？
0x00127d70 ［アヤシイ男］
0x00127d83 なんでっかいな、それは？
0x00127d9e わてはタダのあきんどだす。
0x00127dbf ［フレイ］
0x00127dce アキンド？
0x00127ddf ［商人］
0x00127dec へえ。ワニナの町で商売
0x00127e03 やっとりましたんや。
0x00127e1a それが何やら知らん間に、こんな
0x00127e39 トコ連れてこられてもうて。
0x00127e5a ［フレイ］
0x00127e69 よくわからないけど、
0x00127e7e 悪い人じゃあなさそうね。
0x00127e9d ［商人］
0x00127eaa あたりまえでんがな。
0x00127ec1 それよりあんさん、なんか買うて
0x00127ee0 くれまへんか？
0x00127ef5 ［フレイ］
0x00127f04 はい？
0x00127f11 ［商人］
0x00127f1e あんさん、わての話、
0x00127f34 聞いとりまへんのか？
0x00127f4b ここへ来てから客がおらんで、
0x00127f69 商売あがったりなんや。
0x00127f82 何にしまひょ？
0x00127f97 ［商人］
0x00127fa4 まいど、おおきに。
0x00127fbd ［フレイ］
0x00127fcc それよりあなた、
0x00127fdf ほかにも連れて来られた人たちが
0x00127ffe いるハズだけど、知らない？
0x0012801f ［商人］
0x0012802c ああ、それでしたら奥に
0x00128043 ぎょうさん、いてはります。
0x00128060 せやけど、みんな眠ったまんまで
0x0012807f 起きてくれはりまへんのや。
0x001280a0 ［フレイ］
0x001280b1 ・・・それもアイツの
0x001280c8 しわざってことかしら？
0x001280e3 ありがとう、また寄らせてもらうわ。
0x0012810c ［商人］
0x00128119 奥へ行かはるんでっか？気をつけてな。
0x00128144 ［フレイ］
0x00128153 うううっ、どうしてこう次から次へと・・・
0x00128182 ［フレイ］
0x00128191 いろんなコトに巻き込
0x001281a6 まれなきゃなんないのよ。
0x001281c5 ［フレイ］
0x001281d4 ミリーはさっぱり見つかんないし、
0x001281f7 ラトクさんのニセモノだって、
0x00128214 まったく情報がつかめないし。
0x00128237 ［フレイ］
0x00128248 これから、どーしたらいいんだろ？
0x0012826f ［フレイ］
0x0012827e ん？
0x00128287 んんんんんんんんんんんん！？
0x001282aa ［フレイ］
0x001282b9 わぁ〜い、おっきな宝箱ぉ！！
0x001282d8 なぁにが入ってるのかなっ、
0x001282f4 わくわくわくっ！！
0x0012830d ［フレイ］
0x0012831e ・・・・・・！？
0x00128335 ［商人］
0x00128342 ゆぅえ〜〜〜〜〜い！！
0x00128359 みなはん、ノッてまっかー？
0x0012837a ［フレイ］
0x0012838b う゛ー・・・・・・
0x001283a4 ［商人］
0x001283b1 さてさて、今日は何にしまひょ？
0x001283d6 ［フレイ］
0x001283e7 どーでもいーけど。
0x001283fd どうして、わざわざそんなトコに
0x0012841c 入ってたのよ！？
0x00128433 ［商人］
0x00128440 ただ、モノ売るだけやったら、だれでもできます。
0x00128471 わてはお客さんに楽しんで買い物
0x00128490 してほしい思うとりますねん。
0x001284b3 ［フレイ］
0x001284c2 ・・・しょ、商売って
0x001284d7 むずかしーのね。おぼえとこ。
0x001284fa ［フレイ］
0x00128509 ここはちょっと、のぼれそうにないわね。
0x00128536 ［フレイ］
0x00128545 あなたは・・・っ！！
0x00128560 ［商人］
0x0012856d ワニ皮やおまへんで。
0x00128583 ワニナだす。
0x00128596 ［フレイ］
0x001285a5 う゛。と、ところで
0x001285ba あなたならこの状況をなんとか
0x001285d8 できるって言うの？
0x001285f1 ［商人］
0x001285fe もちろんでおま。
0x0012860f ・・・これだす。
0x00128625 ［商人］
0x00128632 この『さーふぼーど』
0x00128648 さえあれば問題あらしまへん。
0x0012866b ［フレイ］
0x0012867a それ一枚ちょーだい！
0x00128695 ［商人］
0x001286a2 ちょうだい、でっか？
0x001286b9 これも一応、売りモンなんやけどなぁ。
0x001286e0 まあ、あんさんにはいろいろと
0x001286fe 買うてもろうとるさかい、
0x00128719 特別にサービスさせてもらいますわ。
0x00128742 ［商人］
0x0012874f ほな、お気をつけて。今度はまたなんか買うてってや。
0x00128788 ［フレイ］
0x00128797 ここから先はアレがないと・・・。
0x001287ba たしか、このポケットに・・・。
0x001287df ［フレイ］
0x001287f1 さ　ー　ふ　ぼ　ー　ど　！！
0x00128814 ［フレイ］
0x00128823 コレさえあれば、こんなトコへっちゃらよ！
0x00128852 ［フレイ］
0x00128861 ミル！！
0x00128870 ［アマドゥク］
0x00128885 うぐぐっ、
0x00128890 キ、キサマ・・・！
0x001288a9 ［アマドゥク］
0x001288be ・・覚えておれ。
0x001288cf この借りはかならず・・・。
0x001288f0 ［フレイ］
0x001288ff ミル、だいじょうぶ？
0x0012891a ［ミル］
0x00128927 ええ、なんとか・・。
0x0012893c それより、はやくヤツの・・・
0x0012895b アマドゥクの儀式を止めなければ・・・。
0x00128988 ［フレイ］
0x00128997 儀式・・ってなんの？
0x001289b2 ［ミル］
0x001289bf この世界の人々がみな
0x001289d6 少なからずサークの力を持って
0x001289f4 いることはごぞんじですね？
0x00128a15 ［フレイ］
0x00128a24 ええ・・・。その力が
0x00128a39 具現化したものが魔法よね。
0x00128a5a ［ミル］
0x00128a67 そのとおりです。
0x00128a7a アマドゥクは、人々のサークの力
0x00128a99 を吸収し、
0x00128aa6 異界の神『ダークメア』を召喚
0x00128ac3 しようとしているのです。
0x00128ae2 ［フレイ］
0x00128af1 そんなコトになったら・・・！
0x00128b10 ミル、あなたはルトクを連れて、
0x00128b2f 先に地上へもどって。
0x00128b4a ［ミル］
0x00128b57 だいじょうぶですか？
0x00128b6d あなたひとりで・・・
0x00128b88 ［フレイ］
0x00128b99 ・・・だって、
0x00128bac 今の私じゃ、ルトクを助けてあげ
0x00128bcb られないから・・・
