0x000bd7d0 通信エラーが発生しました！
0x000c1218 宇宙の平和を守る
0x000c1229 警察官ポヨンです
0x000c123c 子猫
0x000c1244 ギロロのテントに
0x000c1255 出入りする子猫です
0x000c1268 麻美
0x000c1270 空手一筋の女の子です
0x000c1288 大人夏美
0x000c1294 夏美が大人になった時の
0x000c12ab 姿です
0x000c12b4 青空ケロ子
0x000c12c0 宇宙漫才ハルマゲドンの
0x000c12d7 リーダー？です
0x000c12e8 海原モア
0x000c12f4 宇宙漫才ハルマゲドンの
0x000c130b 相方です
0x000c1314 Ｍ・ハニー
0x000c1320 アメリカの
0x000c132b グラビアアイドルです
0x000c1340 ケロロお掃除重装型
0x000c1354 ケロロ優勝記念品
0x000c1365 ※交換できません
0x000c1378 嫉妬中のタママ
0x000c1388 タママ優勝記念品
0x000c1399 ※交換できません
0x000c13ac ギロロの赤ん坊
0x000c13bc ギロロ優勝記念品
0x000c13cd ※交換できません
0x000c13e0 ちょんまげクルル
0x000c13f4 クルル優勝記念品
0x000c1405 ※交換できません
0x000c1418 ゼロロ
0x000c1420 ドロロ優勝記念品
0x000c1431 ※交換できません
0x000c1444 すもも（ペコポン人）
0x000c145c すもも優勝記念品
0x000c146d ※交換できません
0x000c1480 力のタライホース
0x000c1494 パワーが異常にＵＰ
0x000c14a7 その他いろいろ
0x000c14b8 知恵のタライホース
0x000c14cc コーナーが異常にＵＰ
0x000c14e1 その他いろいろ
0x000c14f0 勇気のタライホース
0x000c1504 はやさが異常にＵＰ
0x000c1517 その他いろいろ
0x000c1528 黄金のタライホース
0x000c153c かそくが異常にＵＰ
0x000c154f その他いろいろ
0x000c1ae4 ケロロ
0x000c1aec タママ
0x000c1af4 ギロロ
0x000c1afc クルル
0x000c1b04 ドロロ
0x000c1b0c スモモ
0x000c1b14 ケロロＤ
0x000c1c38 あの頃ケロロ
0x000c1c48 共鳴
0x000c1c50 ご覧頂こうケロンパ
0x000c1c70 キレる
0x000c1c78 タママインパクト
0x000c1c8c 超・嫉妬玉
0x000c1ca4 覚醒
0x000c1cac ライフル乱射
0x000c1cbc ストームミサイル
0x000c1cdc 陰湿パワー
0x000c1ce8 子守唄
0x000c1cf0 エナジー電磁ボール
0x000c1d10 トラウマ
0x000c1d1c クナイ投げ
0x000c1d28 必殺！ドロロ斬り
0x000c1d48 ライトアップ
0x000c1d58 サイン
0x000c1d60 歌う
0x000c1d74 ミサイル
0x000c1d80 ミサイルポッド
0x000c1dcd 初回起動です。
0x000c1ddc SRAMの内容を
0x000c1de9 クリアします。
0x000c1e1c セーブデータの保存に
0x000c1e31 失敗しました。
0x000c1e40 スタートボタンで進みます。
0x000c1e5c セーブデータが壊れています。
0x000c1e79 これまでデータは
0x000c1e8a 失われてしまいました。
0x000c1ea1 スタートボタンで進みます。
0x000c1ec0 クルル「く〜っくっくっく…
0x000c1edb 　俺様が１位か…いいねェ…
0x000c1ef6 　く〜っくっくっく…」
0x000c1f10 ケロロ「い…いやな予感がする
0x000c1f2d 　であります！
0x000c1f3c 　１番負けてはいけない
0x000c1f54 　相手だったかも…」
0x000c1f6c タママ「陰湿、陰険、陰鬱な
0x000c1f87 　作戦が
0x000c1f90 　展開されそうですぅ〜。」
0x000c1fac ギロロ「貴様の発明が
0x000c1fc1 　大いに役立つのは
0x000c1fd4 　理解できるが
0x000c1fe4 　隊長になるのは
0x000c1ff5 　気に食わん！」
0x000c2008 ドロロ「クルル殿
0x000c2019 　地球に優しい兵器の開発を
0x000c2034 　お願い申すでござる。」
0x000c2050 クルル「く〜っくっくっく…
0x000c206b 　俺に任せときな…
0x000c207e 　サイコーにとんでもない物を
0x000c209c 　開発してやるぜぇ。」
0x000c20b4 ケロロ「ゲロ〜…
0x000c20c5 　クルル隊長が
0x000c20d4 　ラボにこもって
0x000c20e8 　もう
0x000c20ef 　一週間になるであります。」
0x000c210c モア「なにをしてらっしゃるん
0x000c2129 　でしょうか？」
0x000c213c ギロロ「おいケロロ、
0x000c2151 　様子を見にいった方が
0x000c2168 　いいんじゃないのか？」
0x000c2184 タママ「なんだか嫌な予感が
0x000c219f 　するですぅ〜…」
0x000c21b4 ドロロ「果たしてクルル殿は
0x000c21cf 　健全で明るい発明を
0x000c21e4 　しておられるのだろうか？」
0x000c2204 ケロロ「しかしクルル隊長は
0x000c221f 　かなり陰湿な男で
0x000c2232 　ありますからな…
0x000c2248 　我輩たちが
0x000c2255 　説得したところで…
0x000c226c 　そうだモア殿、
0x000c227d 　一つ頼みを聞いてくれるで
0x000c2298 　ありますか？」
0x000c22ac モア「はい、おじさま！」
0x000c22c8 クルル「自分の好きな様に
0x000c22e1 　開発が出来るってのは
0x000c22f8 　いいねェ…
0x000c2308 　ペコポン侵略など
0x000c231b 　元隊長やオッサンやガキが
0x000c2336 　いなくても俺１人で十分…！
0x000c2354 　く〜っくっくっく…
0x000c2369 　…ん？」
0x000c2374 モア「あの〜…
0x000c2383 　おじさまに頼まれて
0x000c2398 　様子を
0x000c23a1 　見に来たんですけど…」
0x000c23bc クルル(なんだ、コイツか…
0x000c23d6 　適当にあしらって
0x000c23e9 　追い返してやるか…)
0x000c2400 クルル(…？)
0x000c2410 じ〜〜〜〜っ…
0x000c2420 モア(何を作ってるんだろ…)
0x000c243c ケロロ「おお、クルル隊長！
0x000c2457 　ひさしぶりであります…？
0x000c2472 　ど…どうしたでありますか！
0x000c2490 　クルル隊長？！」
0x000c24a4 クルル「俺には…
0x000c24b5 　俺には耐えられん……」
0x000c24d0 ガフッ
0x000c24d8 モアの純粋な興味が
0x000c24eb 耐えられなくなったクルルは
0x000c2506 ケロロに隊長の座を
0x000c251c 譲りましたとさ。
0x000c2e6c ドロロ「これで拙者が
0x000c2e81 　隊長でござるな。
0x000c2e94 　それでは早速、
0x000c2ea5 　作戦会議を
0x000c2eb2 　始めるでござる。」
0x000c2ec8 タママ「積極的ですぅ〜
0x000c2ee4 ギロロ「ふん、行動が早いな。
0x000c2f01 　その調子で頼むぞ、
0x000c2f16 　ドロロ。」
0x000c2f24 クルル「マジメな隊長ってのも
0x000c2f41 　いいかもねェ…
0x000c2f52 　く〜っくっくっく…」
0x000c2f6c ケロロ「我輩が
0x000c2f7b 　隊長ではない…？
0x000c2f8e 　そんな…☆×□○…」
0x000c2fa8 　(言葉にならない)
0x000c2fbc ドロロ「ケロロ元隊長殿、
0x000c2fd5 　心配されるな。
0x000c2fe6 　時期がくれば、
0x000c2ff8 　隊長の座を
0x000c3005 　譲るでござるよ。」
0x000c301c ケロロ「ドロロくん…！」
0x000c3038 モア「よかったですね！
0x000c304f 　おじさま！」
0x000c3060 ドロロ「それでは、
0x000c3073 　ペコポン保護作戦会議を
0x000c308c 　開会するでござる！」
0x000c30a4 一同「は？」
0x000c30b4 ドロロ「この美しき
0x000c30c7 　ペコポンという星を、
0x000c30de 　いかに守ってゆくか。
0x000c30f8 　健全で、有意義で、
0x000c310d 　為になる作戦を…」
0x000c3124 　とくとく…　せつせつ…
0x000c3140 一同「………」
0x000c3150 ケロロ「やはり、この日向家を
0x000c316d 　どう攻略するかが
0x000c3180 　キーポイントであります！」
0x000c31a0 ギロロ「そうだな、
0x000c31b3 　夏美の力は軽視できん。
0x000c31cc 　ここは冬樹を先に
0x000c31df 　押さえておく
0x000c31ee 　必要があるんじゃないか？」
0x000c320c タママ「でもフッキーに
0x000c3223 　手を出すとモモッチの
0x000c323a 　戦闘能力が
0x000c3248 　目覚めてしまうですぅ。
0x000c3261 　そうなると手が
0x000c3272 　つけられないですぅ〜。」
0x000c3290 クルル「やっぱ、あれかい？
0x000c32ab 　俺様がとんでもない物を
0x000c32c4 　発明して一網打尽に…
0x000c32dc 　く〜っくっくっく…」
0x000c32f4 ケロロ「うむ！
0x000c3303 　まず強力な兵器開発から
0x000c331c 　始めるであります！
0x000c3334 　地道な下準備こそ、
0x000c3349 　ペコポン侵略への
0x000c335c 　近道であります！
0x000c3370 　では、早速…」
0x000c3384 ？？？「待たれよ、御免ッ！」
0x000c33a4 ドロロ「そのような
0x000c33b7 　ペコポン人に対して
0x000c33cc 　危害を加えるような作戦は
0x000c33e8 　隊長として認めるわけには
0x000c3403 　参らぬ！
0x000c3410 　みんなの意見全てを
0x000c3425 　却下する気はござらんが
0x000c3440 　せめて、
0x000c344b 　もう少し健全で明るい…
0x000c3464 　有意義な…為になる…」
0x000c3480 ケロロ「それでは！
0x000c3493 　クルル曹長は
0x000c34a2 　新たな兵器開発を、
0x000c34b8 　ギロロ伍長は
0x000c34c7 　武器庫のチェックを、
0x000c34e0 　タママ二等は、我輩に
0x000c34f7 　付いて来るであります！
0x000c3510 　作戦スタートであります！」
0x000c3530 一同「了解！」
0x000c3540 ドロロ「ねえ？！
0x000c3551 　ちょっと、みんな？！」
0x000c356c ケロロ「いやぁ、
0x000c357d 　久しぶりに充実した
0x000c3592 　作戦会議でありましたな！」
0x000c35b0 ギロロ「ふん、
0x000c35bf 　やっと重い腰を上げたか…」
0x000c35dc タママ「くぅ〜、
0x000c35ed 　腕がなるですぅ〜
0x000c3604 クルル「く〜っくっくっく…
0x000c361f 　兵器開発は
0x000c362c 　オレにまかしときな…」
0x000c3648 ドロロ「あの、みんな…
0x000c365f 　僕の意見は…？」
0x000c3674 バタンッ
0x000c3680 ドロロ「…また…一人だけ…
0x000c369b 　…おいてけぼり…
0x000c36ae 　大丈夫…平気…
0x000c36c0 　なれっこだから…
0x000c36d3 　いつもの…ことだから…」
0x000c36f0 モア「ちょっと、
0x000c3701 　かわいそう…
0x000c3710 　あ！　まってください、
0x000c3729 　おじさま〜！」
0x000c373c 隊長になったドロロだったが
0x000c3757 またもや
0x000c3760 隊員達に忘れ去られ(？)
0x000c3778 新たなトラウマを
0x000c3789 増やしたのであった。
0x000c4340 ギロロ「フッ…」
0x000c4354 ケロロ「そんな…バカな…
0x000c436d 　我輩…我輩は…」
0x000c4380 モア「おじさま…」
0x000c4394 ギロロ「俺が隊長に
0x000c43a7 　なったからには
0x000c43b8 　こざかしい作戦など
0x000c43d0 　無用だ！
0x000c43db 　全戦力を投入し、
0x000c43ee 　一挙制圧をかける！」
0x000c4408 タママ「全面戦争ですかぁ？
0x000c4423 　くぅ〜、
0x000c442e 　腕がなるですぅ〜
0x000c4448 ドロロ「ダメだよ！
0x000c445b 　そんなこと！」
0x000c446c ガシッ！！
0x000c4478 ドロロ「クルルくん？！
0x000c448f 　フガモガ…」
0x000c44a0 ドロロ「Ｚｚｚ…」
0x000c44b4 クルル「盛り上がってきたねぇ
0x000c44d1 　く〜っくっくっくっく…」
0x000c44ec クルル「おや…？」
0x000c4500 ギロロ「どうした？
0x000c4513 　クルル曹長？」
0x000c4524 クルル「く〜っくっくっく…
0x000c453f 　ギロロ隊長…
0x000c454e 　これを見てみな。
0x000c4564 　モニターに映すぜぇ…」
0x000c4580 夏美「サブロー先輩？！
0x000c4597 　どうしてここに…？」
0x000c45b0 サブロー「いや〜、
0x000c45c3 　近くまで来たから
0x000c45d6 　夏美ちゃんの様子でも
0x000c45f0 　見ていこうと思ってね。」
0x000c460c 夏美「い、いやだ〜
0x000c461f 　サブロー先輩ったら！」
0x000c4638 クルル「く〜っくっくっく…
0x000c4653 　随分楽しそうっすねぇ…
0x000c466c 　ねぇ、隊長？
0x000c467c 　く〜っくっくっくっく…」
0x000c4698 ギロロ「ぬぅ…(怒)
0x000c46ab 　アイツはサブローとか
0x000c46c2 　いったな…」
0x000c46d4 　(おのれ…夏美を
0x000c46e6 　たぶらかそうなどと
0x000c46fb 　断じて許さぬ！
0x000c470c 　許さぬぞォォォ！！)
0x000c4724 ケロロ「ゲロッ！
0x000c4735 　ギロロ隊長に
0x000c4744 　異変であります！！」
0x000c475c モア「てゆーか怒り心頭？」
0x000c4778 タママ「隊長がどす黒い感情に
0x000c4795 　飲みこまれて
0x000c47a4 　いくですぅ〜。」
0x000c47b8 ギロロ「これ以上は
0x000c47cb 　やらせん！！」
0x000c47dc サブロー「あははは、
0x000c47f1 　クルル達は元気にしてる？」
0x000c4810 夏美「はい！　てゆーか、
0x000c4829 　またヘンな事やろうと
0x000c4840 　してるんじゃないかって
0x000c485c 　心配してるんですよ。」
0x000c4878 サブロー「俺はアイツら
0x000c488f 　面白いから
0x000c489c 　また何か
0x000c48a7 　やってくれたらな〜って
0x000c48c0 　思ってるんだけどね。」
0x000c48dc ギロロ「おい、貴様！」
0x000c48f4 サブロー「あれ、君は…
0x000c490b 　ギロロ？だったっけ？
0x000c4922 　元気そうだね。」
0x000c4938 ギロロ「だまれ！
0x000c4949 　貴様のような
0x000c4958 　チャラチャラした男は
0x000c4970 　この俺が性根を
0x000c4981 　叩き直してやる！
0x000c4994 　落ちろぉーっ！(？)」
0x000c49ac 夏美「こぉらあーッ！
0x000c49c1 　ギロロ！　おとなしく
0x000c49d8 　してなさぁーい！！」
0x000c49f0 ギロロ「ゲフッ！！」
0x000c4a08 サブロー「ヒュー…(汗)」
0x000c4a24 ギロロ「な…夏…美…」
0x000c4a3b 　(ガクッ)
0x000c4a48 タママ「あ〜あ…」
0x000c4a5c クルル「く〜っくっくっく…
0x000c4a77 　ああ感情的じゃ隊長は
0x000c4a8e 　務まりそうにねぇなぁ…」
0x000c4aac その後、
0x000c4ab5 暫定的にケロロが隊長に
0x000c4acc 復帰しましたが、
0x000c4ae0 ギロロのハートブレイクは
0x000c4af9 傷が深くそのままケロロが
0x000c4b12 隊長に戻ったのでした。
0x000c57d0 ケロロ「ＦＩＸ　ＦＩＸ！」
0x000c57ec ケロロ「隠しキャラの
0x000c5801 　エンディングなんて
0x000c5818 　用意されている
0x000c5829 　はずがないのだ！
0x000c583c 　しかし、これって
0x000c584f 　どうやって抜け出せば
0x000c5866 　いいのかしら…」
0x000c587c その後、
0x000c5885 ケロロがどうなったかは
0x000c589c 誰も知りません…
0x000c58b0 めでたし、めでたし。
0x000c59b4 ケロロ「我輩はやったッ！
0x000c59cd 　やはり我輩こそが
0x000c59e0 　ケロロ小隊の隊長に
0x000c59f8 　ふさわしい男なのダーッ！！
0x000c5a18 　ゲーロゲロゲロゲロ！
0x000c5a2f 　ゲーロゲロゲロゲロ！」
0x000c5a48 モア「おめでとうございます！
0x000c5a65 　おじさま
0x000c5a74 タママ「さすが
0x000c5a83 　軍曹さんですぅ〜
0x000c5a9c ギロロ「ふん！
0x000c5aab 　やるじゃないか、ケロロ！」
0x000c5ac8 クルル「く〜っくっくっく…
0x000c5ae3 　良かったねェ…隊長。」
0x000c5afc ドロロ「ケロロくん…！
0x000c5b13 　君はやれば出来ると
0x000c5b28 　信じていたよ！」
0x000c5b3c ケロロ「みんな…その言葉、
0x000c5b57 　嬉しいであります！
0x000c5b6c 　だが！
0x000c5b75 　我輩は確かに腑抜けていた！
0x000c5b92 　今回の闘いでそれを
0x000c5ba8 　思い知ったであります！」
0x000c5bc4 モア「てゆーか青天の霹靂？」
0x000c5be4 ギロロ「ケロロ…！
0x000c5bf7 　やっと目を覚ましてくれたか
0x000c5c14 　くぅ…」
0x000c5c20 タママ「あの頃の軍曹さんを
0x000c5c3b 　思い出すですぅ〜
0x000c5c54 クルル「お望みなら、
0x000c5c69 　俺がとんでもない物を
0x000c5c80 　スタンバってやるゼェ…
0x000c5c9c 　く〜っくっくっく…」
0x000c5cb4 ドロロ「ケロロ隊長殿、
0x000c5ccb 　侵略達成した暁には、
0x000c5ce2 　美しいペコポンを
0x000c5cf8 　守る作戦の立案を
0x000c5d0b 　お願いするでござる！」
0x000c5d24 ケロロ「みんな…
0x000c5d35 　すまなかった！
0x000c5d48 　これからも我輩に
0x000c5d5b 　付いて来てくれ！
0x000c5d6e 　であります！
0x000c5d80 　地球侵略作戦を
0x000c5d91 　直ちに
0x000c5d9a 　実行するであります！」
0x000c5db4 一同「了解ッ！」
0x000c5dc8 ケロロ「ゲロゲロゲロ…
0x000c5ddf 　目覚めた我輩の力…
0x000c5df4 　目に物見せてくれるわぁ！
0x000c5e10 　そう、
0x000c5e19 　まるで小さなアリの穴から
0x000c5e34 　巨大なダムが
0x000c5e44 　崩壊していくように(？)」
0x000c5e60 一同「あ…」
0x000c5e70 夏美「…………………(怒)」
0x000c5e8c ケロロ「ぬぉッ！
0x000c5e9d 　夏美殿いつの間に…？」
0x000c5eb8 夏美「ボケガエル…
0x000c5ecb 　余計なことしようとしたら
0x000c5ee6 　タダじゃ済まないって、
0x000c5f00 　いつも
0x000c5f09 　言ってるわよねぇ…！」
0x000c5f24 ケロロ「ヒ…ヒイィィ〜ッ！
0x000c5f3f 　許してでありま〜す！」
0x000c5f58 夏美「待ちなさい、
0x000c5f6b 　ボケガエルーッ！」
0x000c5f80 モア「おじさま〜！」
0x000c5f98 ギロロ「結局…
0x000c5fa7 　こうなるのか…」
0x000c5fbc タママ「これからも
0x000c5fcf 　進展はなさそうですぅ〜…」
0x000c5fec クルル「く〜っくっくっく…」
0x000c600c ドロロ「ケロロくん…、
0x000c6023 　ちょっと情けないよ…」
0x000c603c 無事隊長の座を
0x000c604b 守ったケロロだったが
0x000c6060 結局夏美には敵わず、
0x000c6078 ケロロ達は日々変わらぬ生活を
0x000c6095 送るのでした。
0x000c6b9c ケロロ「プッフィ〜ッようやく
0x000c6bb9 　作ってなかったガンプラを
0x000c6bd4 　全て完成させたであります！
0x000c6bf4 　やはり一つの事を
0x000c6c07 　成し遂げた後は気分が
0x000c6c1e 　良いでありますなあ！」
0x000c6c38 モア「おじさま〜
0x000c6c49 　お茶が入りましたよ〜。」
0x000c6c64 ケロロ「ゲロッ！　モア殿、
0x000c6c7f 　気がきくでありますなぁ！
0x000c6c9a 　ズ〜〜〜〜〜ッ、プハァ〜…
0x000c6cb8 　ふぅ、
0x000c6cc1 　落ち着くであります…！
0x000c6cda 　ゲロゲロゲロ〜。
0x000c6cf0 　我輩の悩みのタネであった
0x000c6d0b 　ガンプラを
0x000c6d18 　片付けたからには…
0x000c6d30 　成すべき事は一つ…
0x000c6d45 　であります！！
0x000c6d58 　フライングボードに乗って
0x000c6d73 　空中散歩と参るであります！
0x000c6d90 　いやあ、たまには外に出て
0x000c6dac 　お天道様に当たらないとネ！
0x000c6dc9 　ペコポン侵略はそれからでも
0x000c6de6 　遅くないであります！」
0x000c6e00 モア「おじさま、
0x000c6e11 　気をつけてくださいね！
0x000c6e2a 　てゆーか安全飛行？」
0x000c6e44 ケロロ「モア殿！
0x000c6e55 　行ってくるでありまーす！」
0x000c6e74 ギロロ「………………(怒)」
0x000c6e90 ケロロ「ゲロッ？！
0x000c6ea3 　ギ…ギロロ伍長、
0x000c6eb6 　何か用でありますか？」
0x000c6ed0 ギロロ「ケロロ…貴様…
0x000c6ee7 　毎日毎日ダラダラ、
0x000c6efc 　ゴロゴロと遊び呆けおって！
0x000c6f1c 　貴様はペコポンを
0x000c6f2f 　侵略する気があるのか
0x000c6f46 　ないのか！ どっちだ！！」
0x000c6f64 ケロロ「いッ　痛い痛い！
0x000c6f7d 　乱暴にしないでッ！！
0x000c6f94 　まあ落ち着いて！
0x000c6fa7 　我輩の話を聞いてくれ！！」
0x000c6fc4 ギロロ「ええい！
0x000c6fd5 　聞く耳もたんわ！！
0x000c6fec 　貴様などが
0x000c6ff9 　隊長を務めているから
0x000c7010 　ペコポン侵略が
0x000c7024 　進まんのだ！」
0x000c7038 ケロロ「ギロロよ…
0x000c704b 　我輩が隊長である事が
0x000c7062 　気に食わないのなら、
0x000c707c 　ここは
0x000c7085 　一つ勝負をしてケリを
0x000c709c 　つけようじゃないか！」
0x000c70b8 ギロロ「なに…？」
0x000c70cc ケロロ「我輩と
0x000c70db 　フライングボードのレースで
0x000c70f8 　勝負であります！
0x000c710c 　もしも我輩が負けたなら…
0x000c7127 　隊長の座を
0x000c7134 　譲るであります！」
0x000c714c ギロロ「…本当か？」
0x000c7164 ケロロ「男と男の意地をかけた
0x000c7181 　真剣勝負では我輩、
0x000c7196 　嘘は言わないであります！」
0x000c71b4 ギロロ「フフ…おもしろい！
0x000c71cf 　隊長の座などに興味はないが
0x000c71ec 　貴様の体たらくぶりには
0x000c7208 　飽き飽きしていたところだ！
0x000c7225 　貴様を倒して
0x000c7234 　一気にペコポン侵略と
0x000c724c 　行こうじゃないか！！」
0x000c7268 タママ「フライングボードの
0x000c7283 　レースですかぁ〜？
0x000c7298 　おもしろそうですぅ〜
0x000c72b4 　軍曹さぁ〜ん、
0x000c72c5 　僕も参加したいですぅ〜
0x000c72e4 クルル「トラブル＆
0x000c72f7 　アクシデントは俺の身上…
0x000c7312 　俺も参加するぜ…
0x000c7328 　く〜っくっくっく…」
0x000c7340 ケロロ「ゲロっ！お前達…
0x000c7359 　ゲ…、ゲーロゲロゲロ！
0x000c7374 　こーなったら
0x000c7383 　『ケロンプリ』の
0x000c7396 　開催をここに宣言し…」
0x000c73b0 夏美「こら〜っ！
0x000c73c1 　ボケガエル！！」
0x000c73d4 ケロロ「ゲロッ！！
0x000c73e7 　夏美殿？！」
0x000c73f8 夏美「またヘンな事
0x000c740b 　しようとして！
0x000c741c 　あんた達の勝手には
0x000c7434 　させないわよ！！」
0x000c744c 冬樹「まぁまぁ姉ちゃん、
0x000c7468 　軍曹も今回は悪い事しようと
0x000c7485 　してるんじゃ
0x000c7494 　ないんだからさぁ。」
0x000c74ac 秋「そうよぉ夏美。
0x000c74bf 　ケロちゃん、お掃除とか
0x000c74d8 　一生懸命やっているんだし、
0x000c74f8 　たまには息抜き(？)
0x000c750d 　させてあげなきゃ。」
0x000c7524 夏美「そうだけど…
0x000c7537 　おかしな事しないように
0x000c7550 　私達も
0x000c755c 　きっちり観戦するからね！」
0x000c757c 桃華「私もタマちゃんの
0x000c7593 　保護者ですから
0x000c75a4 　観戦します。」
0x000c75b8 　(つーか、
0x000c75c4 　冬樹君がいるなら
0x000c75d7 　見るッきゃねーだろ？！)
0x000c75f4 ポール「お嬢様、
0x000c7605 　私もお供致します。
0x000c761a 　タママ殿は私にとっても
0x000c7634 　友人ですから。」
0x000c7648 サブロー「へぇ〜レースか、
0x000c7663 　面白そうじゃん。
0x000c7676 　俺も観戦しよっかな〜？」
0x000c7694 小雪「あの〜…
0x000c76a3 　私も観戦しようと
0x000c76b6 　思ってるんですけど…」
0x000c76d0 　(夏美さんも
0x000c76de 　観戦するって聞いたし
0x000c76f8 小雪「みなさんドロロの事
0x000c7711 　忘れてませんか？」
0x000c7728 一同「あ…」
0x000c7738 ドロロ「ケロロくん…大丈夫…
0x000c7755 　平気…いつもの事だから…
0x000c7770 　なれっこだから…」
0x000c7788 ケロロ「ゲロッ！
0x000c7799 　ド、ドロロ君？！
0x000c77ac 　…や、やだなぁ〜
0x000c77bf 　忘れてたわけじゃ
0x000c77d2 　ないんだよ？
0x000c77e4 　後で声をかけようと
0x000c77f9 　思ってたんであります！」
0x000c7814 ドロロ「ケロロくん…
0x000c7829 　昔っからそうだよね…
0x000c7840 　確かに
0x000c7849 　僕はペコポンを守る側に
0x000c7862 　ついたけどさ…」
0x000c7878 ケロロ「そ…
0x000c7885 　それでは改めて。」
0x000c789c 冬樹「ちょっと待って軍曹。
0x000c78b7 　レースのルールは
0x000c78ca 　どうするの？」
0x000c78dc ケロロ「えぇとそれは…」
0x000c78f8 冬樹「まだ、
0x000c7905 　決めてないんだね。
0x000c791a 　じゃぁ、僕が決めるね。
0x000c7934 　ルールは簡単
0x000c7943 　チャンピオンシップ
0x000c7958 　ポイント制を使います。
0x000c7974 　そして、
0x000c797f 　ここからが重要になります。
0x000c799c 　軍曹たちが
0x000c79ac 　ゴールした時点での
0x000c79c1 　残りのＨＰもポイントに
0x000c79da 　加算します。
0x000c79ec 　そうする事で１位になっても
0x000c7a09 　ＨＰを加算した
0x000c7a1a 　総合ポイントで
0x000c7a2c 　巻き返されてしまいます。
0x000c7a47 　その方が
0x000c7a52 　面白そうでしょ？」
0x000c7a68 ケロロ「そ…それでは改めて
0x000c7a83 　『ケロンプリ』の
0x000c7a96 　開催をここに
0x000c7aa8 　宣言するであります！
0x000c7abf 　優勝者には隊長の座を
0x000c7ad6 　譲ってくれるであります！
0x000c7af4 　全員まとめて
0x000c7b03 　かかってくるで
0x000c7b14 　アリマース！」
0x000c7b29 　　　　　共鳴×５
0x000c7b3c ケロロ(なんか色々マズイ！
0x000c7b56 　であります！
0x000c7b65 　どんな手を使ってでも、
0x000c7b80 　隊長の座は
0x000c7b8d 　譲らないであります！
0x000c7ba4 　ゲロゲロゲロゲロゲロゲロ
0x000c7bbf 　ゲロゲロゲロゲロゲロ…)
0x000c7bdc すもも「あら…？
0x000c7bed 　久々にペコポンに来たら
0x000c7c08 　軍曹さん達、楽しそうな事
0x000c7c23 　やってるじゃない？
0x000c7c38 　…よ〜〜〜し、
0x000c7c49 　私もコッソリ参加しちゃお！
0x000c7c66 　うふっ
0x000c9334 すもも「はぁ〜っ！
0x000c9347 　楽しかったぁ！」
0x000c935c ケロロ「ゲロ〜まさか、
0x000c9373 　すももちゃんに
0x000c9384 　負けるとは…」
0x000c9398 ギロロ「俺達は訓練を受けた
0x000c93b3 　軍人だぞ…？！」
0x000c93c8 タママ「これで、
0x000c93d9 　すももちゃんがケロロ小隊の
0x000c93f6 　隊長ですかぁ〜？」
0x000c940c クルル「く〜っくっくっく…
0x000c9427 　おもしろいことに
0x000c943a 　なりやがったねェ…」
0x000c9454 ドロロ「うぬぬ…
0x000c9465 　不覚でござる。」
0x000c9478 ケロロ「あの〜、
0x000c9489 　すももちゃん？
0x000c949c 　我輩たちの
0x000c94a9 　隊長になるので
0x000c94ba 　ありますか？」
0x000c94cc すもも「あら私、あなた達の
0x000c94e7 　隊長になる気なんて
0x000c94fc 　ないわよ？」
0x000c950c 一同「え？」
0x000c951c すもも「最近ちょっと
0x000c9531 　忙しかったのよね〜…
0x000c9548 　ちょっとだけ
0x000c9557 　お休みもらえたから
0x000c956c 　息抜きのつもりで
0x000c957f 　ペコポンに来たのよ。
0x000c9598 　そしたら、
0x000c95a5 　あなた達が楽しそうな事
0x000c95be 　やってたから。」
0x000c95d4 ケロロ「な…
0x000c95e1 　なんですとォ〜〜ッ！」
0x000c95fc すもも「あら？
0x000c960b 　そろそろアホトロン星へ
0x000c9624 　帰らなくっちゃ！
0x000c9638 　またライブが始まるのよね！
0x000c9655 　良かったら
0x000c9662 　あなた達も見に来てね！
0x000c967c 　それじゃぁね〜！
0x000c968f 　うふっ
0x000c969c ケロロ「アイドルの
0x000c96af 　すももちゃんにまで
0x000c96c4 　勝つことが出来なかった。
0x000c96e0 　我輩達は
0x000c96eb 　今まで何をしておったのか！
0x000c9708 　我輩は
0x000c9711 　思い知ったであります！」
0x000c972c モア「すももちゃん、
0x000c9741 　スゴかったですね！
0x000c9756 　てゆーか全戦全勝？」
0x000c9770 タママ「すももちゃんに
0x000c9787 　会えたのは
0x000c9794 　嬉しかったんですけどねぇ〜
0x000c97b4 　自分が情けないですぅ〜…」
0x000c97d4 ギロロ「確かに…
0x000c97e5 　ケロロ小隊全員が
0x000c97f8 　敗北するとは
0x000c9808 　由々しき事態だ。」
0x000c9820 クルル「く〜っくっくっく…
0x000c983b 　運が
0x000c9842 　無かったんじゃねェのか？」
0x000c9860 ドロロ「拙者も負けるとは
0x000c9879 　思わなかったでござる…
0x000c9892 　ドロロ、一生の不覚…！」
0x000c98b0 ケロロ「みんな！
0x000c98c1 　我輩達はこれを機会に
0x000c98d8 　改めて一致団結であります！
0x000c98f8 　もう一度我輩の下
0x000c990b 　ケロロ小隊を
0x000c991a 　結成するのであります！！」
0x000c9938 タママ「わぁ〜、
0x000c9949 　なんだか感動的ですぅ〜
0x000c9968 ギロロ「ふん、仕方ない。
0x000c9981 　乗ってやるか…」
0x000c9994 クルル「俺は発明が出来れば
0x000c99af 　文句はねぇぜ…
0x000c99c0 　く〜っくっくっく…」
